0001 HUR A,388,45.92,446,52.78
0002 HUR B,382,57.62,274,41.33
0003 HUR C,291,45.61,338,52.98
0004 HUR D,273,49.01,272,48.83
0005 HUR E,358,44.97,432,54.27
0006 HUR F,405,56.88,286,40.17
0007 SAN A,139,36.48,235,61.68
0008 SAN B,630,72.50,227,26.12
0009 SAN C,555,80.67,126,18.31
0010 SAN D,425,62.04,246,35.91
0011 SAN E,624,74.02,205,24.32
0012 SAN F,511,65.01,267,33.97
0013 SAN G,608,71.36,230,27.00
0014 SAN H,549,69.76,223,28.34
0015 SAN I,616,69.14,261,29.29
0016 SAN J,554,74.97,173,23.41
0017 SAN K,616,70.08,241,27.42
0018 SAN L,448,73.08,154,25.12
0019 SAN M,460,74.43,140,22.65
0020 SAN N,551,77.06,153,21.40
0021 SAN O,473,65.69,218,30.28
0022 SAN P,624,63.09,344,34.78
0023 VER 1-A,244,47.38,261,50.68
0024 VER 2-A,248,58.35,164,38.59
0025 VER 2-B,347,55.97,259,41.77
0026 VER 3-A,307,55.62,240,43.48
0027 VER 3-B,287,54.98,219,41.95
0028 BER VILL,211,53.55,175,44.42
0029 KI VILL,121,41.58,167,57.39
0030 BV VILL,203,57.18,147,41.41
0031 CAST VILL,241,50.74,222,46.74
0032 MIL VILL,222,41.42,301,56.16
0033 BER TWP #1,319,50.63,302,47.94
0034 BER TWP #2,419,46.92,456,51.06
0035 FLO TWP #1,302,48.24,308,49.20
0036 FLO TWP #2,414,50.49,392,47.80
0037 GRO TWP,354,46.40,393,51.51
0038 HUR TWP #1,330,40.79,466,57.60
0039 HUR TWP #2,315,46.19,349,51.17
0040 HUR TWP #3,309,44.21,378,54.08
0041 MAR TWP #1,351,48.82,352,48.96
0042 MAR TWP #2,293,57.91,203,40.12
0043 MAR TWP #3,427,58.17,295,40.19
0044 MAR TWP #4,275,55.78,212,43.00
0045 MIL TWP #1,242,44.40,288,52.84
0046 MIL TWP #2,342,38.30,531,59.46
0047 OX TWP,365,52.52,317,45.61
0048 PER TWP #1,513,61.44,307,36.77
0049 PER TWP #2,484,48.30,494,49.30
0050 PER TWP #3,307,42.34,408,56.28
0051 PER TWP #4,355,58.39,236,38.82
0052 PER TWP #5,112,49.78,103,45.78
0053 PER TWP #6,405,53.36,344,45.32
0054 PER TWP #7,360,52.33,311,45.20
0055 PER TWP #8,449,55.23,352,43.30
0056 PER TWP #9,345,54.68,276,43.74
0057 PER TWP #10,433,48.49,443,49.61
0058 VER TWP #1,409,53.19,349,45.38
0059 VER TWP #2,295,54.53,237,43.81
0060 VER TWP #3,264,52.28,228,45.15
0061 VER TWP #4,223,51.74,198,45.94
0062 VER TWP #5,226,45.93,258,52.44
