0001 001 ASHTABULA CITY 1A,251,64.19,132,33.76
0002 002 ASHTABULA CITY 1B,190,67.62,87,30.96
0003 003 ASHTABULA CITY 1C,144,69.90,58,28.16
0004 004 ASHTABULA CITY 1D,196,68.06,85,29.51
0005 005 ASHTABULA CITY 1E,236,61.94,138,36.22
0006 006 ASHTABULA CITY 1F,177,60.82,110,37.80
0007 007 ASHTABULA CITY 1G,160,66.39,79,32.78
0008 008 ASHTABULA CITY 2A,212,74.91,67,23.67
0009 009 ASHTABULA CITY 2B,191,67.73,85,30.14
0010 010 ASHTABULA CITY 2C,231,72.41,76,23.82
0011 011 ASHTABULA CITY 2D,171,69.23,69,27.94
0012 012 ASHTABULA CITY 2E,179,64.86,89,32.25
0013 013 ASHTABULA CITY 2F,198,75.29,63,23.95
0014 014 ASHTABULA CITY 3A,122,76.25,35,21.88
0015 015 ASHTABULA CITY 3B,214,74.83,65,22.73
0016 016 ASHTABULA CITY 3C,191,76.40,54,21.60
0017 017 ASHTABULA CITY 3D,282,89.81,30,9.55
0018 018 ASHTABULA CITY 4A,160,75.83,45,21.33
0019 019 ASHTABULA CITY 4B,189,69.74,71,26.20
0020 020 ASHTABULA CITY 4C,171,59.38,108,37.50
0021 021 ASHTABULA CITY 4D,199,66.78,96,32.21
0022 022 ASHTABULA CITY 4E,128,60.38,79,37.26
0023 023 ASHTABULA CITY 5A,153,70.18,60,27.52
0024 024 ASHTABULA CITY 5B,183,77.22,49,20.68
0025 025 ASHTABULA CITY 5C,151,66.52,68,29.96
0026 026 ASHTABULA CITY 5D,177,59.80,119,40.20
0027 027 ASHTABULA CITY 5E,212,75.44,67,23.84
0028 028 CONNEAUT CITY 1A,177,60.62,109,37.33
0029 029 CONNEAUT CITY 1B,167,58.60,115,40.35
0030 030 CONNEAUT CITY 1C,186,64.81,92,32.06
0031 031 CONNEAUT CITY 1D,132,55.70,97,40.93
0032 032 CONNEAUT CITY 2A,309,61.92,179,35.87
0033 033 CONNEAUT CITY 2B,188,62.46,100,33.22
0034 034 CONNEAUT CITY 2C,189,55.59,141,41.47
0035 035 CONNEAUT CITY 2D,245,51.36,224,46.96
0036 036 CONNEAUT CITY 3A,179,60.68,111,37.63
0037 037 CONNEAUT CITY 3B,223,59.63,144,38.50
0038 038 CONNEAUT CITY 3C,232,69.88,92,27.71
0039 039 CONNEAUT CITY 3D,272,65.86,127,30.75
0040 040 CONNEAUT CITY 4A,213,68.27,90,28.85
0041 041 CONNEAUT CITY 4B,157,70.72,65,29.28
0042 042 CONNEAUT CITY 4C,185,65.60,83,29.43
