County,Clinton_Hillary,De La Fuente_Rocky,O'Malley_Martin,Sanders_Bernie,Valentine_James,Wolfe_John,Bush_Jeb,Carson_Ben,Christie_Chris,Cruz_Ted,Fiorina_Carly,Graham_Lindsey,Huckabee_Mike,Kasish_John,Jindal_Bobby,Paul_Rand,Rubio_Marco,Santorum_Rick,Trump_Donald
Arkansas,724,4,5,132,2,2,25,146,14,593,3,1,57,83,0,6,789,0,1073
Ashley,1375,83,93,980,104,265,9,104,1,403,2,1,14,45,1,2,281,0,586
Baxter,1392,5,12,808,7,8,52,452,30,2484,10,2,67,376,0,18,1377,4,3815
Benton,5661,23,29,4714,22,31,342,2534,56,11945,59,22,303,2275,18,171,12890,29,11843
Boone,721,3,8,469,8,9,37,479,16,1590,12,2,105,268,4,20,1213,12,2582
Bradley,595,1,3,106,5,5,20,95,1,395,2,2,43,45,3,3,362,2,772
Calhoun,433,22,73,319,43,61,0,11,0,142,0,0,5,5,0,3,78,0,175
Carroll,1069,3,16,1109,14,8,20,314,14,1119,1,1,97,207,1,21,815,3,1555
Chicot,1371,13,30,247,15,15,1,35,1,152,0,2,22,20,2,1,162,0,416
Clark,1650,5,17,494,6,23,6,144,2,907,1,0,15,102,1,8,750,1,694
Clay,963,32,85,657,44,70,6,48,1,277,0,1,11,15,0,0,136,0,340
Cleburne,758,5,7,316,5,13,47,339,14,2228,6,6,83,210,1,13,1392,3,2531
Cleveland,382,9,8,137,9,10,7,62,2,550,1,1,21,32,1,1,313,1,503
Columbia,1008,5,13,306,12,21,34,208,4,943,2,3,46,103,3,10,634,9,1150
Conway,1757,68,79,840,37,46,8,101,6,742,0,2,27,31,1,2,498,3,806
Craighead,3595,12,42,1884,38,40,105,872,24,4202,6,5,131,483,3,29,3189,8,3513
Crawford,1587,16,36,875,12,12,32,591,17,3927,5,5,97,249,1,12,2251,18,3392
Crittenden,3374,43,55,716,34,179,22,190,5,847,2,2,26,75,0,11,558,3,1395
Cross,780,10,15,228,9,9,12,139,3,808,3,2,35,45,1,4,395,2,972
Dallas,693,39,57,361,28,43,4,26,0,148,0,0,5,1,0,1,90,0,163
Desha,1366,49,44,443,30,41,4,15,0,78,3,0,7,5,0,0,103,0,233
Drew,1251,30,38,475,24,28,11,176,5,538,1,1,34,47,2,3,557,5,795
Faulkner,4088,20,34,2792,28,30,104,950,23,6239,18,16,194,595,4,50,5434,8,5093
Franklin,667,2,15,294,6,8,15,182,6,1099,3,2,82,95,0,18,603,1,1232
Fulton,701,21,23,473,20,27,3,111,0,386,1,0,15,32,0,5,181,0,652
Garland,4060,9,29,1783,13,18,102,970,34,4086,18,14,203,673,5,50,4062,7,5543
Grant,690,5,14,300,21,11,8,125,7,1329,1,2,33,59,1,9,652,1,1010
Greene,1237,7,22,586,25,13,72,377,11,1710,5,4,161,206,1,20,1320,2,2104
Hempstead,786,3,18,164,9,9,6,119,2,917,0,1,63,92,3,7,395,0,821
Hot Spring,1564,28,52,733,29,53,15,235,4,1382,5,2,70,81,2,5,892,0,1599
