COUNTY_NAME,Clinton_Hillary,Sanders_Bernie,Moreau_Kevin,De La Fuente_Rocky,Hewes_Henry,Judd_Keith,Steinberg_Michael,Wilson_Willie,Carter_Willie,Basiago_Andrew,Nu_ez_Ignaci„,Terry_Doug,Carson_Ben,Cruz_Ted,Kasich_John,Trump_Donald,Gilmore_Jim,Breivogel_Joann ,Williams_Victor,Southern_Troy,Dowell_John,Alexander-Pace_James,Ogle_James,Thomson_David,Gonzales_Donald,Vidal_Frederic,Germalio_James 
Alameda,164889,153955,0,249,322,211,333,462,0,0,0,0,1973,4807,7614,29097,556,0,1,0,1,0,0,1,0,0,0
Alpine,113,137,0,0,1,0,0,1,0,0,0,0,5,7,19,123,0,0,0,0,0,0,0,0,0,0,0
Amador,2516,2386,0,8,7,17,24,32,0,0,0,0,217,399,478,4868,34,0,0,0,0,0,0,0,0,0,0
Butte,11766,19739,0,34,34,56,86,105,0,0,0,0,1231,1928,1828,20079,90,0,0,0,0,0,0,0,0,0,0
Calaveras,2971,2914,0,8,11,18,25,61,0,0,0,0,209,513,499,5763,25,0,0,0,0,0,0,0,0,0,0
Colusa,835,809,0,10,6,7,18,7,0,0,0,0,63,136,136,1712,10,0,0,0,0,0,0,0,0,0,0
Contra Costa,103333,77862,0,146,186,189,274,287,0,0,0,0,2066,5201,10516,41456,451,0,0,0,0,0,0,0,0,0,0
Del Norte,1119,1598,0,5,4,11,24,11,0,0,0,0,132,237,134,1895,13,0,0,0,0,0,0,0,0,0,0
El Dorado,12492,12620,0,31,27,46,75,134,0,0,0,0,1039,2057,2673,21889,123,0,0,0,0,0,0,0,0,0,0
Fresno,45436,34663,0,146,161,191,282,218,0,0,0,0,2622,7092,5148,50476,218,0,0,0,0,0,0,0,0,0,0
Glenn,911,1003,0,1,4,5,11,13,0,0,0,0,151,246,174,2521,15,0,0,0,0,0,0,0,0,0,0
Humboldt,8135,19928,0,13,30,51,75,71,0,0,0,0,514,1033,828,6762,66,0,0,0,0,0,0,0,0,0,0
