County ,Clinton_Hillary,Sanders_Bernie
Adams ,2187,3504
Alamosa ,90,167
Arapahoe ,5320,6086
Archuleta ,83,156
Baca ,15,14
Bent ,26,24
Boulder ,6354,11142
Broomfield ,563,1010
Chaffee ,210,404
Cheyenne ,5,4
Clear Creek ,159,199
Conejos ,73,50
Costilla ,64,23
Crowley ,15,16
Custer ,34,45
Delta ,177,417
Denver ,12097,14624
Dolores ,8,22
Douglas ,2342,2347
Eagle ,344,623
El Paso ,3384,5339
Elbert ,89,144
Fremont ,193,268
Garfield ,439,734
Gilpin ,74,173
Grand ,94,187
Gunnison ,141,481
Hinsdale ,3,10
Huerfano ,93,150
Jackson ,15,12
Jefferson ,5478,8281
Kiowa ,5,2
Kit Carson ,11,16
La Plata ,837,1487
Lake ,53,165
Larimer ,3281,6744
Las Animas ,96,122
Lincoln ,20,14
Logan ,77,70
Mesa ,791,1095
Mineral ,16,25
Moffat ,21,28
Montezuma ,198,412
Montrose ,210,258
Morgan ,70,87
Otero ,78,94
Ouray ,86,156
Park ,118,231
Phillips ,11,18
Pitkin ,349,421
Prowers ,40,18
Pueblo ,1260,1140
Rio Blanco ,8,18
Rio Grande ,47,59
Routt ,230,406
Saguache ,47,219
San Juan ,11,27
San Miguel ,89,329
Sedgwick ,13,8
Summit ,276,419
Teller ,126,219
Washington ,10,12
Weld ,1090,1838
Yuma ,45,33
