County,Bush_Jeb,Carson_Ben,Christie_Chris,Cruz_Ted,Fiorina_Carly,Gilmore_Jim,Graham_Lindsey,Huckabee_Mike,Kasich_John,Paul_Rand,Rubio_Marco,Santorum_Rick,Trump_Donald,Clinton_Hillary,O'Malley_Martin,Sanders_Bernie
Alachua                  ,386,284,25,5232,25,6,8,29,1917,95,7040,16,9273,17783,708,17738
Baker                    ,33,60,0,971,0,0,1,2,70,5,769,1,2163,654,240,805
Bay                      ,325,319,14,7166,15,2,2,44,1417,55,5847,14,14448,5218,571,4135
Bradford                 ,31,34,1,964,2,0,1,6,94,4,700,1,1802,1057,206,908
Brevard                  ,1315,960,94,19357,66,10,39,100,6253,181,24360,47,45527,31878,1393,20107
Broward                  ,1309,584,102,14018,103,14,38,88,7803,193,30794,59,53329,134357,1902,49071
Calhoun                  ,16,18,1,356,2,0,0,5,27,1,206,1,524,437,225,545
Charlotte                ,517,297,35,4215,22,1,7,27,2315,53,6111,16,16527,8127,321,4638
Citrus                   ,433,275,38,4865,20,4,9,40,1706,41,4991,16,15245,6865,555,4786
Clay                     ,473,293,27,7835,32,1,9,48,1643,44,8475,16,19380,5347,323,3700
Collier                  ,1278,396,62,10569,68,6,8,40,7071,64,15607,19,30108,12729,390,6139
Columbia                 ,91,74,11,2443,5,1,4,14,264,14,1438,7,4033,2304,372,1676
Miami-Dade               ,3978,549,110,16186,65,16,40,57,5200,241,111985,101,40188,129570,1756,42073
Desoto                   ,26,20,1,452,2,0,1,4,103,2,425,1,1449,988,165,728
Dixie                    ,16,24,2,349,1,0,0,4,31,1,206,2,1103,409,150,459
Duval                    ,1763,1149,100,20558,77,16,34,151,5854,260,30683,46,53606,59521,1982,27244
Escambia                 ,893,674,59,11374,45,7,17,98,3096,140,12721,30,20876,16774,853,9332
Flagler                  ,191,84,21,2387,10,1,2,11,1030,17,3366,6,9690,6162,215,2980
Franklin                 ,6,11,1,246,1,0,0,2,73,2,249,0,630,666,104,647
Gadsden                  ,24,25,4,742,1,0,1,7,110,5,463,3,995,7449,354,1945
Gilchrist                ,17,32,3,779,3,0,0,3,79,2,384,2,1860,428,134,578
Glades                   ,5,3,0,226,0,0,0,1,38,0,162,1,632,387,76,313
Gulf                     ,24,25,1,519,0,0,1,4,89,3,392,0,1039,568,111,520
Hamilton                 ,19,11,2,252,0,0,0,0,29,2,126,0,581,758,148,479
Hardee                   ,15,22,3,519,0,0,1,5,55,2,435,0,1113,530,82,393
Hendry                   ,46,31,1,552,2,0,0,0,69,5,645,1,1290,1157,104,647
Hernando                 ,698,290,34,4760,24,4,8,36,1442,56,4777,20,15535,8946,510,5550
Highlands                ,263,174,15,3062,6,1,4,16,782,25,3153,2,7496,3716,276,2057
Hillsborough             ,2620,1441,142,26032,119,28,47,132,9160,272,37150,56,53154,69066,2403,38602
Holmes                   ,18,33,1,812,1,2,1,10,64,7,454,0,1239,339,239,619
Indian River             ,560,194,34,4195,29,4,8,24,2938,44,6580,24,13691,6901,228,3928
Jackson                  ,54,76,5,1357,1,0,2,10,145,8,910,4,2487,2805,551,1842
Jefferson                ,8,14,2,537,1,0,0,1,68,1,247,0,676,1671,152,762
Lafayette                ,6,7,0,204,0,0,0,2,13,0,126,0,402,204,136,363
Lake                     ,832,565,83,10625,61,8,16,73,2918,81,12199,33,26424,15932,696,8486
Lee                      ,3338,1289,148,19186,98,18,19,97,8628,206,23969,43,51754,27995,1029,15677
Leon                     ,702,355,46,8672,35,5,18,59,2773,91,8843,13,9115,27406,1150,19942
Levy                     ,89,85,8,1277,4,2,1,19,256,15,994,5,3751,1570,215,1356
Liberty                  ,1,4,2,114,0,0,1,0,7,3,68,0,160,316,124,392
Madison                  ,9,21,1,472,2,0,1,2,54,0,266,1,796,1548,188,743
Manatee                  ,1235,473,58,9412,43,6,13,41,4587,98,13467,32,26334,18131,696,10182
Monroe                   ,206,94,13,1067,20,2,4,13,986,23,2762,11,6073,4868,172,3769
Marion                   ,710,486,57,9873,45,4,15,79,3284,85,11183,41,31377,18225,934,9898
Martin                   ,720,249,48,3906,26,4,5,25,3586,60,6759,10,16070,6529,278,4109
Nassau                   ,190,145,16,3401,4,1,2,15,1051,27,3921,7,9199,2914,205,2063
Okaloosa                 ,541,474,46,8212,42,3,13,123,3191,111,8856,23,17795,4568,428,3792
Okeechobee               ,40,47,5,574,1,1,2,9,149,2,731,1,2204,1152,149,787
Orange                   ,1882,1038,101,19389,93,20,28,115,7401,226,31873,71,41129,66713,1148,36683
Osceola                  ,521,220,25,4193,11,4,7,31,926,48,5740,12,10359,16533,431,7285
Palm Beach               ,1386,567,123,15384,93,18,36,92,11996,207,30999,81,66313,103802,1957,39540
Pasco                    ,1284,522,61,12414,47,10,31,88,3832,127,13846,40,33563,21776,1052,14506
Pinellas                 ,4950,1502,236,21997,173,22,55,154,10978,409,29984,84,61174,63722,2160,39776
Polk                     ,1048,1051,76,15565,68,10,23,119,3841,138,18807,30,33217,29348,1715,15497
Putnam                   ,145,111,3,1672,7,4,6,11,290,17,1554,3,5123,3183,511,2747
Santa Rosa               ,392,544,35,7492,26,5,10,57,1962,70,7931,17,16073,3941,460,3614
Sarasota                 ,1532,521,97,10108,72,13,27,68,8107,112,17886,23,34620,25901,681,15798
Seminole                 ,1069,620,56,11950,45,9,21,51,4344,127,17856,28,25780,22094,688,15116
St. Johns                ,352,326,23,7834,38,8,6,40,3865,89,13710,20,24215,9744,405,6960
St. Lucie                ,664,267,42,3973,28,7,5,32,2096,45,6205,15,18353,17562,595,8100
Sumter                   ,349,195,29,4418,14,1,3,17,2375,12,7717,15,17769,7024,272,3022
Suwannee                 ,72,78,7,1648,3,1,1,8,198,11,859,0,2850,1475,475,1551
Taylor                   ,18,42,0,553,0,0,4,7,61,5,358,1,1204,987,251,908
Union                    ,9,8,0,370,0,0,0,5,29,2,232,1,719,336,107,472
Volusia                  ,1561,589,82,9933,43,9,22,83,3972,123,13503,31,34204,26316,1174,16184
Wakulla                  ,41,45,3,1317,1,0,1,7,190,7,586,0,1664,1659,309,1427
Walton                   ,132,122,6,2548,6,0,2,51,883,25,2405,5,6660,1515,158,1367
Washington               ,34,69,6,1251,2,0,2,12,112,3,615,2,1738,858,182,781
