County,Clinton_Hillary,O'Malley_Martin,Sanders_Bernie,Steinberg_Michael,Bush_Jeb,Carson_Ben,Christie_Chris,Cruz_Ted,Fiorina_Carly,Graham_Lindsey,Huckabee_Mike,Kasich_John,Pataki_George,Paul_Rand,Rubio_Marco,Santorum_Rick,Trump_Donald,
Appling,491,11,143,5,32,304,2,914,1,1,17,83,0,6,462,0,1291,
Atkinson,201,0,49,2,4,47,1,183,1,0,0,14,0,0,73,0,622,
Bacon,113,3,58,3,8,110,3,341,1,1,7,57,0,0,246,2,904,
Baker,304,3,48,2,3,25,1,87,2,0,3,8,0,2,42,0,262,
Baldwin,3036,15,764,10,45,350,7,883,1,0,9,184,0,12,962,4,2070,
Banks,172,7,169,3,15,251,7,1050,6,0,22,84,1,6,444,5,1809,
Barrow,1458,9,879,16,53,743,10,3471,11,9,27,346,3,35,2050,7,4656,
Bartow,2219,25,1495,24,82,1133,7,4518,15,2,48,549,5,54,3262,5,8297,
Ben Hill,780,8,180,5,19,209,1,317,1,0,4,60,0,2,196,0,1025,
Berrien,326,7,146,9,30,179,6,720,1,0,22,66,1,5,242,0,1568,
Bibb,13019,34,2650,28,92,1171,25,3405,8,5,27,1113,2,36,3531,2,5962,
Bleckley,370,6,98,2,18,141,6,534,3,0,4,87,0,3,412,1,935,
Brantley,137,14,125,5,20,191,1,604,1,1,20,48,0,13,319,2,1163,
Brooks,726,6,198,2,12,118,4,476,2,1,5,52,0,1,267,0,1017,
Bryan,895,8,502,8,40,337,4,1480,5,1,5,274,1,10,1295,0,2220,
Bulloch,1916,7,1227,9,61,653,9,2149,8,5,18,447,1,20,1766,1,3115,
Burke,1660,6,185,4,25,162,1,803,1,1,7,56,0,5,375,0,1181,
Butts,922,6,191,9,19,245,5,1002,2,0,7,98,0,3,597,1,1884,
Calhoun,499,0,61,1,1,29,1,105,0,0,1,15,0,0,69,0,227,
Camden,1405,6,690,10,35,454,11,1181,6,2,16,297,1,21,1228,4,3073,
Candler,435,5,111,5,49,149,2,322,2,2,7,76,0,5,322,1,898,
Carroll,3186,15,1941,18,86,1263,17,5006,3,5,42,650,1,52,3381,9,7516,
Catoosa,1088,11,1027,13,45,1106,11,2536,2,0,25,461,1,27,2434,3,4464,
Charlton,275,8,84,6,19,87,3,319,1,1,7,20,0,5,209,0,603,
Chatham,19916,72,7507,51,274,1522,50,7055,36,21,49,2984,11,72,7848,11,10738,
Chattahoochee,182,1,40,1,4,14,0,89,0,0,0,8,0,1,30,0,175,
Chattooga,568,7,302,14,24,292,1,636,2,1,9,74,0,6,523,0,1676,
Cherokee,4844,29,4442,25,168,2524,61,12899,40,6,68,2473,2,129,13475,13,18469,
Clarke,7107,21,6878,21,64,499,15,1822,11,9,19,878,1,38,3114,6,2363,
Clay,298,3,44,2,5,23,1,64,0,0,1,15,0,0,57,1,179,
Clayton,25151,60,5557,38,62,531,13,1859,15,5,21,333,1,21,1642,3,3264,
Clinch,167,1,38,4,16,85,2,164,0,1,1,12,1,4,111,1,414,
Cobb,39509,137,22520,86,511,5157,116,23749,112,25,129,8491,22,287,38769,40,34789,
Coffee,1094,10,309,8,36,411,2,876,2,2,16,120,1,1,580,0,2472,
Colquitt,1035,12,302,11,82,509,11,1400,5,2,21,199,1,7,773,4,2968,
Columbia,4806,23,2338,24,112,2126,26,8051,16,8,37,1134,1,54,5751,8,9181,
Cook,580,8,171,2,14,178,9,519,2,0,6,46,1,3,240,1,1229,
Coweta,4359,30,2235,25,127,1809,31,6451,18,6,56,1327,3,63,5831,11,9600,
Crawford,493,6,120,4,5,139,4,396,1,0,5,60,0,2,249,2,933,
Crisp,731,3,172,6,12,148,4,533,1,1,7,82,0,2,399,4,1206,
Dade,242,1,231,7,11,273,3,555,1,0,6,119,0,12,662,0,1153,
Dawson,312,5,269,4,25,311,3,1468,4,0,8,267,0,7,1094,0,2651,
Decatur,1325,8,337,9,34,211,3,703,1,1,12,112,0,3,546,1,1534,
DeKalb,82601,170,32707,95,337,1778,71,6831,79,27,59,5587,24,153,18304,21,11179,
Dodge,579,2,141,6,11,226,2,504,1,0,13,84,2,5,486,2,1360,
Dooly,740,4,91,2,7,68,0,200,0,0,4,29,1,0,157,2,585,
Dougherty,8920,25,1439,22,57,445,9,1398,6,13,18,387,0,14,1149,3,3080,
Douglas,9393,21,3151,26,101,993,20,4092,19,12,45,609,2,32,3404,6,6987,
Early,673,1,76,4,17,75,1,225,0,1,6,43,0,1,223,2,760,
Echols,32,1,36,1,2,31,1,110,1,0,3,5,0,2,37,0,268,
Effingham,1179,12,621,17,59,609,2,3094,8,5,19,305,1,34,1490,6,3650,
Elbert,818,6,258,5,27,173,1,721,3,1,7,150,1,4,562,4,1402,
Emanuel,758,5,145,4,13,198,2,695,3,2,12,87,1,5,463,0,1496,
Evans,347,5,85,5,18,80,2,329,2,0,4,42,0,1,309,0,481,
Fannin,547,4,356,5,31,351,8,1143,5,0,22,215,2,4,863,0,3006,
Fayette,7267,22,2925,15,125,1511,23,5813,33,4,35,1741,3,40,7258,16,8060,
Floyd,2568,27,1368,25,73,1140,16,2874,12,1,32,829,2,27,3152,5,5979,
Forsyth,3707,24,3153,12,220,1776,45,9987,34,3,46,2280,8,90,12072,21,15736,
Franklin,352,4,205,2,30,304,5,1097,2,3,15,149,0,8,738,0,1999,
Fulton,83457,200,33800,94,553,2772,112,12337,127,39,91,10628,30,229,35325,30,22521,
Gilmer,490,3,423,9,35,319,3,1332,6,2,21,232,0,14,1159,4,3340,
Glascock,38,2,19,2,10,42,1,129,3,1,1,10,0,1,88,0,405,
