County,Sanders_Bernie,Clinton_Hillary,Cohen_Larry,O'Malley_Martin,De La Fuente_Rocky,Wilson_Willie,Carson_Ben,Christie_Chris,Fiorina_Carly,Trump_Donald,Bush_Jeb,Kasich_John,Huckabee_Mike,Rubio_Marco,Paul_Rand,Santorum_Rick,Cruz_Ted
Adams,1609,1731,16,24,8,23,155,31,9,5233,107,1427,28,953,30,3,4885
Alexander,434,770,18,31,13,18,5,0,1,282,6,17,1,15,0,0,211
Bond,858,718,9,10,8,4,30,0,2,1102,18,271,10,198,10,0,1032
Boone,2773,1957,8,10,6,4,108,25,14,3816,84,1597,13,721,49,10,3248
Brown,156,160,1,2,1,5,5,4,1,502,12,107,4,47,3,1,303
Bureau,1852,1518,10,20,5,9,67,16,3,2185,83,964,19,461,23,13,1696
Calhoun,503,446,7,11,12,13,5,1,0,329,3,50,2,40,2,0,247
Carroll,640,625,5,6,2,2,54,18,6,1268,67,705,24,297,17,9,1022
Cass,539,504,7,11,6,7,13,4,2,680,24,183,10,112,4,1,559
Champaign,20581,10542,15,39,13,24,310,77,30,7645,240,5126,55,2880,96,11,9617
Christian,1526,1395,14,23,7,16,71,14,2,2392,32,606,11,295,23,4,1963
Clark,664,560,6,11,7,6,73,17,5,1484,57,438,24,267,7,3,1210
Clay,439,378,6,8,3,8,33,5,1,1294,29,195,12,126,8,0,985
Clinton,1266,906,8,10,4,7,47,14,9,2522,42,593,10,375,15,9,2142
Coles,2522,1708,11,18,4,15,129,27,10,3156,108,1231,27,730,36,8,3029
Cook,525000,617612,939,3371,861,4581,1629,726,324,124483,2062,75285,330,31519,999,236,68506
Crawford,583,609,4,10,3,7,37,20,8,1508,44,470,23,260,10,2,1238
Cumberland,517,364,13,11,5,9,48,8,3,1081,46,228,12,158,15,1,1081
DeKalb,8315,4135,14,19,6,11,114,42,11,5139,123,2664,31,1342,75,15,4279
DeWitt,659,561,3,7,3,4,44,12,2,1577,53,402,10,255,19,4,1489
Douglas,643,483,7,6,2,3,47,13,6,1391,62,496,17,290,11,5,1764
DuPage,65159,59103,80,166,63,100,663,296,144,49113,855,41024,155,14253,437,112,35229
Edgar,468,446,5,7,6,9,66,18,4,1562,62,487,19,283,10,2,1188
Edwards,148,143,0,2,2,2,37,8,5,867,29,189,25,137,7,1,630
Effingham,1247,867,5,13,4,13,85,28,3,2897,50,925,7,473,22,12,3448
Fayette,641,616,6,13,1,7,36,9,4,1933,32,287,10,215,7,4,1462
Ford,438,288,3,3,0,5,50,5,9,1244,42,448,15,280,12,4,1281
Franklin,2780,2172,41,87,31,51,55,3,1,3130,36,387,10,304,13,1,1928
Fulton,2537,2150,23,22,7,23,43,9,3,1862,45,650,9,248,20,2,1688
Gallatin,663,531,19,45,11,47,6,0,1,310,4,35,1,27,0,1,181
Greene,530,503,12,11,2,14,22,7,2,1014,22,145,5,131,10,1,808
Grundy,3095,2051,9,16,5,16,82,30,7,3625,74,1144,15,615,16,6,2108
Hamilton,485,418,13,25,10,25,15,3,1,766,11,135,11,98,6,1,604
Hancock,431,607,3,8,3,6,39,7,6,1494,20,475,15,180,11,1,1227
Hardin,222,162,5,5,3,4,4,2,0,496,8,54,9,44,4,0,319
Henderson,296,338,4,8,0,4,13,2,3,516,8,182,7,76,3,4,402
Henry,2056,2156,7,18,6,8,91,18,13,3021,81,1741,17,751,31,8,2785
Iroquois,875,542,8,9,1,9,101,18,12,2836,96,831,28,502,13,5,2219
Jackson,4656,2826,9,25,4,5,62,13,5,2215,48,795,18,575,25,3,2058
Jasper,434,328,14,12,6,15,31,9,2,822,21,255,9,105,4,2,928
Jefferson,1775,1677,9,39,13,42,80,23,5,3281,56,647,23,438,18,3,2575
Jersey,1069,853,9,17,3,9,36,12,2,1902,22,320,9,221,23,4,1449
Jo Daviess,1225,1315,4,8,3,5,32,4,4,1666,45,846,17,391,11,7,1153
Johnson,420,361,1,10,3,5,46,5,3,1383,42,252,13,169,11,3,1224
Kane,31085,24063,41,84,29,58,411,98,71,21605,324,14400,86,5946,202,58,16838
Kankakee,5751,4898,16,24,10,21,174,34,14,6403,140,2287,24,1175,77,11,4645
Kendall,7482,5283,10,20,4,18,139,39,18,6721,114,3172,37,1565,65,13,4966
Knox,3168,2836,16,23,10,25,65,11,11,2429,78,1214,17,528,20,4,2300
Lake,44355,49750,65,125,46,97,431,153,98,30697,524,23053,111,8961,255,66,20698
LaSalle,6739,5271,24,42,14,39,140,47,11,6950,154,2362,39,1033,63,10,4404
Lawrence,429,417,4,22,5,11,44,20,6,1326,37,303,15,144,6,3,752
Lee,1958,1292,3,15,1,7,68,21,14,2153,95,1259,19,416,25,8,2111
Livingston,971,757,6,8,2,6,132,33,9,2846,156,1193,27,657,33,16,3235
Logan,972,737,5,3,1,5,55,16,2,2185,95,893,17,438,9,5,2361
Macon,4990,5945,33,31,16,28,143,31,11,6655,82,1975,30,963,39,7,6574
Macoupin,3552,2770,36,47,25,29,73,18,11,3527,59,727,27,405,22,5,2509
Madison,18723,15332,58,126,47,90,321,75,34,15588,204,3866,70,2559,115,31,13259
Marion,1681,1609,24,29,7,23,88,22,5,2760,54,511,16,376,22,8,2184
Marshall,586,568,2,0,0,4,20,5,2,1032,41,407,5,173,3,3,1095
Mason,676,680,8,11,1,7,21,3,2,896,28,271,6,154,4,0,786
Massac,492,539,7,5,3,4,30,11,0,1341,14,225,9,173,10,2,1204
McDonough,1469,1052,7,6,1,5,69,13,5,1599,50,807,8,343,17,3,1449
McHenry,20513,13156,48,49,20,20,348,126,76,21861,364,11503,105,5246,234,57,13997
McLean,12936,7695,14,47,10,16,260,61,36,8653,282,5823,62,3064,87,22,13085
Menard,491,398,3,4,0,1,21,11,2,986,32,495,7,184,8,3,1064
Mercer,859,946,5,21,2,11,29,9,3,920,21,412,11,196,11,1,1073
Monroe,1775,1436,8,15,2,12,64,37,7,3272,60,866,9,639,26,7,2640
Montgomery,1266,1241,13,22,7,20,63,14,4,2269,53,555,17,379,17,2,1822
Morgan,1278,917,10,8,6,5,82,29,10,2378,101,1043,22,526,24,8,2030
Moultrie,566,462,4,11,3,3,27,11,0,900,24,264,7,141,6,1,1321
Ogle,2642,1793,5,13,2,8,114,29,7,4029,121,1746,30,721,31,16,4307
Peoria,10345,11341,23,40,23,35,186,43,21,7583,157,5050,26,1919,53,10,10278
Perry,930,853,6,15,6,13,29,9,2,1461,40,274,12,200,8,2,1140
Piatt,1016,787,7,7,7,6,57,13,7,1496,47,703,20,422,21,6,1855
Pike,451,495,5,8,3,12,37,13,3,1603,34,287,13,181,11,5,1139
Pope,176,109,1,4,0,3,6,2,0,507,7,80,3,42,2,0,365
