County,Sanders_Bernie,Clinton_Hillary,Cruz_Ted,Trump_Donald,Kasich_John,Carson_Ben,Bush_Jeb,Paul_Rand,Rubio_Marco,Christie_Chris,Fiorina_Carly
Adams ,1030,991,3851,2458,367,90,35,28,20,11,6
Allen ,16435,15032,29963,29473,4874,568,289,237,327,96,60
Bartholomew ,3182,2778,6283,7918,1450,164,141,94,92,30,30
Benton ,235,190,720,1175,171,28,21,10,16,7,2
Blackford ,514,493,800,1019,101,17,13,8,6,3,1
Boone ,2555,2075,6223,7023,1728,101,93,65,82,15,24
Brown ,1269,805,1387,2202,189,33,29,15,16,6,9
Carroll ,648,508,1737,2421,302,37,31,25,19,18,9
Cass ,1655,1137,2362,3941,411,67,59,24,44,11,9
Clark ,5305,6192,5850,10635,900,140,96,94,117,33,18
Clay ,1049,931,1788,3615,212,38,47,17,21,8,10
Clinton ,1046,724,2637,3252,474,81,73,28,39,17,13
Crawford ,616,684,634,1162,56,17,22,16,12,9,3
Daviess ,701,539,1920,3894,393,69,57,22,34,17,9
Dearborn ,1245,1389,2375,6617,1086,47,29,54,33,17,5
Decatur ,733,631,2078,3319,345,47,41,7,27,9,6
DeKalb ,1269,1139,3748,4203,624,92,55,27,37,17,18
Delaware ,7728,6137,6153,8793,1255,147,113,55,75,26,28
Dubois ,2293,2305,2475,4692,651,72,45,27,37,11,11
Elkhart ,6935,4788,16204,14462,2446,278,194,110,165,60,47
Fayette ,1097,984,1056,2744,245,33,28,15,14,8,5
Floyd ,4108,4584,4496,7456,1045,91,74,80,106,22,19
Fountain ,462,413,1301,2742,234,66,44,39,16,11,7
Franklin ,552,667,1326,3487,524,28,18,22,16,5,12
Fulton ,683,594,1433,2556,280,38,30,20,18,10,6
Gibson ,1453,1484,2263,4237,369,77,42,21,25,8,3
Grant ,2344,2318,5650,5992,739,141,97,36,46,23,14
Greene ,1464,1086,1971,4491,302,71,53,24,27,7,7
Hamilton ,14557,12297,29396,35031,9594,435,396,296,420,118,130
Hancock ,2600,1793,6564,9520,1240,105,87,72,68,23,21
Harrison ,1627,1887,2498,4326,422,81,54,35,28,13,6
Hendricks ,6898,4873,14876,18555,2869,290,193,125,175,62,51
Henry ,2139,1789,3362,5714,453,78,67,40,36,14,19
Howard ,3733,3526,5946,8475,833,150,104,59,63,17,23
Huntington ,1227,836,3658,4100,547,111,63,21,51,15,12
Jackson ,1380,1467,2647,5362,517,108,84,50,55,17,9
Jasper ,1323,910,2120,3903,494,68,64,36,36,16,3
Jay ,704,692,1475,2194,289,47,40,13,14,12,5
Jefferson ,1465,1648,1584,3077,367,46,41,27,26,4,7
Jennings ,921,837,1470,3361,221,56,38,19,22,5,8
Johnson ,5480,3686,11849,17218,2199,215,158,92,136,45,48
Knox ,1774,1742,1929,4918,344,74,50,18,31,5,7
Kosciusko ,2120,1373,7698,8748,1127,176,114,84,59,19,15
LaGrange ,578,521,2373,2571,368,51,39,23,24,10,10
Lake ,32893,43091,12083,28577,2974,280,127,166,189,65,48
LaPorte ,7273,6178,4434,9494,924,101,77,61,62,22,11
Lawrence ,1648,1062,3132,5971,507,107,80,62,50,13,16
Madison ,7170,6635,8023,12487,1156,212,143,66,111,36,41
Marion ,58799,59649,39557,49835,9633,699,547,396,503,169,164
Marshall ,1705,1202,3644,4755,563,89,74,39,47,18,10
Martin ,486,407,743,1398,80,14,17,7,7,6,2
Miami ,987,720,2409,3286,316,59,43,31,22,8,6
Monroe ,15166,8063,5505,7259,1683,115,98,70,90,15,19
Montgomery ,966,715,2912,4412,632,81,55,46,60,24,19
Morgan ,2158,1600,5885,10235,941,155,102,51,72,22,20
Newton ,521,434,725,1814,206,26,25,9,14,4,11
Noble ,1274,1134,3706,4422,578,95,71,21,52,12,7
Ohio ,178,248,299,786,91,7,4,2,6,2,2
Orange ,661,603,1223,2574,248,65,61,27,33,15,8
Owen ,1056,631,1217,2679,165,39,26,17,16,2,6
Parke ,539,392,921,1996,142,36,27,6,11,7,3
Perry ,1114,1358,606,1642,166,14,25,13,12,5,2
Pike ,625,526,821,1649,122,29,11,7,13,4,0
Porter ,13344,9466,7073,16194,2359,150,131,118,126,38,26
Posey ,1378,1117,1696,3159,322,35,23,22,18,2,9
Pulaski ,473,351,1042,1668,192,32,43,13,14,10,5
Putnam ,1189,974,2737,4087,309,48,41,26,19,7,18
Randolph ,887,705,1840,2939,350,49,47,21,13,19,10
Ripley ,690,674,1442,3694,641,52,20,26,21,8,14
Rush ,561,417,1457,2362,255,35,38,17,20,15,4
Scott ,1288,1588,867,1929,100,28,5,23,9,2,2
Shelby ,1497,1215,3190,5044,439,69,79,35,26,10,18
Spencer ,1030,1060,1378,2350,292,42,24,16,24,4,4
St. Joseph ,17355,15514,15239,19059,2568,192,120,117,137,52,40
Starke ,1277,1055,1072,2456,128,6,17,9,6,3,3
Steuben ,1120,981,2500,3973,614,56,54,31,34,22,5
Sullivan ,1454,1058,944,2379,115,17,15,5,6,2,0
Switzerland ,410,430,263,858,137,14,7,9,4,4,2
Tippecanoe ,9580,5998,9460,10296,2705,188,145,115,124,36,39
Tipton ,606,437,1631,2269,251,46,43,13,34,9,6
Union ,205,205,365,875,203,17,8,1,4,2,1
Vanderburgh ,9132,7679,9289,14544,2168,201,121,74,106,37,33
Vermillion ,1309,1074,602,1748,92,16,14,10,13,3,4
Vigo ,7434,6042,3829,8539,788,82,60,29,65,20,23
Wabash ,1080,906,2964,3932,450,88,51,27,31,5,13
Warren ,273,257,583,1321,114,16,18,15,8,5,2
Warrick ,3139,2677,4721,7450,957,118,60,40,51,10,10
Washington ,932,999,1542,3156,206,59,39,41,18,7,5
Wayne ,2411,2025,2937,6116,1021,89,71,20,44,12,9
Wells ,796,763,3826,2777,349,48,39,27,25,2,6
White ,912,709,1753,3044,394,31,42,17,24,12,6
Whitley ,1143,883,4064,3919,610,83,43,50,42,16,14
