County,Clinton_Hillary,Sanders_Bernie,O'Malley_Martin,De La Fuente_Rocky,Trump_Donald,Cruz_Ted,Rubio_Marco,Kasich_John,Carson_Ben,Paul_Rand,Bush_Jeb,Christie_Chris,Santorum_Rick,Fiorina_Carly,Huckabee_Mike
Adair,466,410,18,2,1512,631,246,190,14,8,7,1,1,0,0
Allen,427,440,5,6,640,524,161,138,19,7,4,0,1,2,8
Anderson,1132,1649,74,22,560,592,257,204,36,15,1,1,0,2,5
Ballard,405,659,34,0,94,164,29,25,7,0,0,0,0,0,0
Barren,1979,2653,97,23,848,800,326,288,33,5,1,1,1,1,2
Bath,628,641,14,8,119,109,23,41,5,2,0,0,0,0,0
Bell,567,578,32,4,692,287,151,125,13,1,4,0,0,1,1
Boone,2932,2496,54,12,2027,2353,919,1428,57,28,4,2,0,2,1
Bourbon,1109,1087,41,5,253,257,129,147,9,4,0,0,0,1,0
Boyd,2193,2263,76,14,674,652,213,381,2,2,1,0,0,0,0
Boyle,1648,1451,40,13,560,480,344,331,16,13,7,1,1,0,1
Bracken,251,424,32,8,73,117,25,47,5,1,0,0,0,0,0
Breathitt,1123,1716,54,33,52,81,16,6,6,1,0,0,0,0,0
Breckinridge,877,875,38,7,489,411,192,143,25,4,6,0,0,0,0
Bullitt,2907,3210,95,20,1770,1631,594,357,19,11,2,0,0,1,4
Butler,238,196,8,2,564,339,208,152,24,13,4,1,0,1,4
Caldwell,570,866,35,12,212,196,70,63,13,1,2,0,0,0,0
Calloway,1460,2239,64,20,438,607,284,264,16,17,1,0,0,0,0
Campbell,3169,3133,51,13,1025,1145,548,946,25,18,2,0,0,1,1
Carlisle,206,462,18,5,44,124,27,6,0,0,0,0,0,0,0
Carroll,481,573,8,7,88,102,19,28,6,1,0,0,0,0,0
Carter,800,1051,39,14,517,393,140,220,16,4,1,0,2,0,2
Casey,210,182,6,0,1029,508,175,190,10,2,1,2,0,0,3
Christian,2437,1936,88,17,632,720,321,185,10,5,4,0,0,0,0
Clark,1810,1888,46,17,797,725,344,274,33,5,2,0,0,0,0
Clay,184,158,4,4,887,355,146,106,18,2,4,1,0,1,2
Clinton,151,93,4,2,771,365,176,106,6,6,4,0,1,0,8
Crittenden,240,344,14,9,314,272,112,71,10,3,2,0,0,0,0
