Parish,Bush_Jeb,Carson_Ben,Christie_Chris,Cook_Tim,Cruz_Ted,Fiorina_Carly,Graham_Lindsey,Huckabee_Mike,Kasich_John,Messina_Peter,Paul_Rand,Rubio_Marco,Santorum_Rick,Trump_Donald,Burke_Steve,Clinton_Hillary,De La Fuente_Rocky,Hewes_Henry,Judd_Keith,O'Malley_Martin,Sanders_Bernie,Steinberg_Michael,Wilson_Willie,Wolfe_John
Acadia,24,70,6,2,1454,1,0,11,129,1,7,403,2,1694,131,1862,55,28,56,68,1087,26,40,112
Allen,4,14,5,2,530,0,0,3,34,0,1,71,0,394,46,536,5,4,12,16,297,5,6,45
Ascension,37,89,7,3,3558,7,3,8,423,2,10,877,10,3377,95,4221,31,11,25,41,1384,31,24,74
Assumption,3,9,0,1,248,1,0,2,35,0,1,79,0,368,41,1139,8,6,8,25,312,8,14,35
Avoyelles,9,16,5,1,455,1,0,2,63,0,2,119,2,885,71,1181,16,12,8,27,455,12,9,54
Beauregard,17,42,3,0,1363,1,4,9,106,0,1,287,0,1112,40,679,20,6,11,31,391,8,22,61
Bienville,12,18,1,0,476,0,0,6,33,0,1,78,0,379,26,1056,10,12,12,11,222,6,6,12
Bossier,56,163,7,8,4988,2,7,23,543,2,19,1011,6,4150,66,2919,24,19,24,47,1187,10,20,73
Caddo,174,295,20,13,7141,16,4,46,1140,4,36,1737,7,5631,215,16666,67,44,45,111,3513,40,49,147
Calcasieu,60,194,14,10,5491,8,5,25,639,2,26,1373,4,4288,193,6594,63,24,59,99,2625,33,66,280
Caldwell,6,17,1,2,264,0,0,6,22,0,1,45,0,284,15,250,3,8,11,8,119,1,5,23
Cameron,3,4,1,0,173,0,0,7,18,0,0,44,0,216,14,123,0,1,12,19,132,3,4,21
Catahoula,9,7,0,2,256,1,1,2,14,0,2,49,0,289,29,431,5,1,6,9,194,5,7,24
Claiborne,10,23,2,2,367,0,0,6,43,0,1,123,0,414,20,768,6,2,14,8,158,3,2,25
Concordia,27,59,7,1,457,0,2,13,44,2,7,151,3,733,50,1830,20,11,14,22,329,8,20,83
De Soto,13,41,4,0,956,1,0,9,73,0,1,167,0,794,35,1508,7,11,13,13,318,4,10,36
East Baton Rouge,228,416,38,22,12358,35,19,51,2502,5,86,4149,17,10022,327,32960,83,49,83,201,7970,81,80,217
East Carroll,3,6,2,0,78,0,2,4,10,0,2,21,0,128,5,508,3,1,2,2,47,0,1,8
East Feliciana,10,29,7,2,650,2,1,4,60,1,1,141,0,706,45,1847,15,9,13,27,347,8,9,61
Evangeline,5,25,2,0,585,1,0,3,59,0,2,133,2,730,68,1319,22,14,27,30,498,17,26,70
Franklin,19,17,2,0,574,2,1,10,48,0,1,111,0,633,26,650,6,10,9,15,218,6,19,33
Grant,17,26,1,1,696,1,1,3,41,0,3,138,2,722,26,367,10,3,7,20,247,8,10,57
Iberia,28,81,3,8,1805,5,2,5,206,0,9,544,1,2157,91,2171,23,9,25,50,806,15,28,51
Iberville,19,36,4,3,546,1,1,12,61,3,3,171,0,830,151,3699,32,24,44,101,1042,34,57,130
