County,Sanders_Bernie,Clinton_Hillary,Cruz_Ted,Trump_Donald,Kasich_John,Rubio_Marco
Androscoggin  ,139,76,662,482,102,118
Aroostook  ,89,73,241,248,89,71
Cumberland  ,597,346,1400,1231,703,394
Franklin  ,45,18,213,131,43,49
Hancock  ,101,51,430,255,131,63
Kennebec  ,190,129,759,461,146,87
Knox  ,79,37,266,292,107,48
Lincoln  ,59,29,325,270,92,50
Oxford  ,83,32,329,307,76,62
Penobscot  ,231,119,1409,537,161,144
Piscataquis  ,26,14,236,122,36,16
Sagadahoc  ,69,40,285,221,103,77
Somerset  ,67,41,512,270,60,52
Waldo  ,74,27,356,220,75,54
Washington  ,51,22,218,171,45,36
York ,301,160,893,843,300,166
