City/Town,Clinton_Hillary,Sanders_Bernie,O'Malley_Martin,De La Fuente_Rocky,Trump_Donald,Kasich_John,Rubio_Marco,Cruz_Ted,Carson_Ben,Bush_Jeb,Christie_Chris,Paul_Rand,Fiorina_Carly,Gilmore_Jim,Huckabee_Mike,Pataki_George,Santorum_Rick
Abington,1159,1390,15,4,1268,303,268,211,53,23,10,6,3,1,4,0,1
Acton,2890,2564,5,1,656,754,578,203,54,38,9,6,5,3,2,3,1
Acushnet,784,760,6,4,710,99,146,108,47,2,0,4,2,2,0,0,0
Adams,702,765,6,1,249,64,80,43,11,2,0,0,0,1,3,0,0
Agawam,1695,1943,25,6,1814,499,522,402,108,20,4,5,6,4,6,3,3
Alford,84,59,0,0,12,14,7,2,2,0,0,0,0,0,0,1,0
Amesbury,1340,2011,14,2,982,371,324,199,62,35,6,5,8,2,5,2,0
Amherst,2678,5346,17,4,175,220,206,59,24,3,1,2,3,0,3,2,0
Andover,3338,2917,10,2,2103,1201,1057,466,95,38,13,12,7,2,4,2,2
Aquinnah,61,86,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0
Arlington,7913,6670,44,14,1532,937,725,322,71,44,10,8,11,3,2,4,1
Ashburnham,359,703,2,0,357,111,125,84,42,10,2,2,1,1,3,1,0
Ashby,188,394,4,0,320,61,72,46,19,7,4,1,1,3,1,3,1
Ashfield,204,469,1,0,44,41,23,10,6,1,0,0,0,2,1,0,0
Ashland,1664,1403,8,1,808,400,365,140,45,14,8,10,1,1,1,1,0
Athol,452,946,4,0,522,155,182,125,53,11,6,11,4,1,2,0,1
Attleboro,2433,2981,18,7,2090,549,794,486,151,38,14,16,9,6,11,3,2
Auburn,1299,1444,20,6,1015,339,332,230,63,20,6,8,1,1,1,0,0
Avon,400,402,8,4,370,56,69,34,11,1,0,1,1,0,0,1,0
Ayer,502,809,2,3,429,142,170,97,32,8,5,6,1,1,0,0,0
Barnstable,3711,4040,31,6,3760,1188,1013,591,203,73,18,24,15,4,8,9,7
Barre,258,570,1,1,375,70,100,107,24,8,1,2,1,0,0,0,1
Becket,123,197,3,1,82,14,22,34,3,0,0,0,0,1,0,0,0
Bedford,1675,1356,7,2,654,499,351,178,44,16,5,5,3,5,2,1,1
Belchertown,1002,1830,13,2,748,289,282,195,55,4,4,1,3,1,1,0,2
Bellingham,969,1264,13,6,1059,223,331,209,40,16,4,10,6,2,3,0,0
Belmont,4060,3056,27,6,1083,691,660,213,44,25,6,7,6,2,2,4,1
Berkley,330,453,2,3,520,90,115,95,34,3,0,2,0,1,1,0,1
Berlin,276,412,2,0,234,93,98,68,13,4,1,1,3,1,1,0,0
Bernardston,143,374,1,0,96,75,55,14,13,6,0,0,0,1,0,0,1
Beverly,3686,4614,25,8,2119,901,927,456,87,53,11,17,6,8,5,4,2
Billerica,2882,3772,32,12,3448,660,788,526,110,66,10,20,4,5,4,2,2
Blackstone,488,618,7,2,600,80,146,94,25,2,4,2,2,2,3,2,0
Blandford,65,130,1,0,115,30,21,20,10,1,1,0,0,0,1,0,0
Bolton,528,580,1,1,299,210,194,115,42,5,2,3,0,1,0,0,1
Boston,71650,51781,526,130,9077,5077,5390,1761,421,205,50,81,37,36,14,27,11
Bourne,1432,1621,14,11,1732,445,416,259,75,33,14,4,6,1,10,0,0
Boxborough,637,619,2,0,212,203,192,57,15,14,0,1,0,0,0,0,1
Boxford,658,751,4,1,751,431,326,155,38,14,2,9,3,2,1,0,1
Boylston,375,469,0,1,339,160,113,97,28,8,2,3,2,0,0,0,0
Braintree,3388,3787,53,12,2643,675,721,395,94,62,19,15,5,8,1,3,2
Brewster,1143,1279,7,4,735,307,252,119,58,25,9,4,3,1,2,1,0
Bridgewater,1428,1958,17,5,1761,425,490,279,68,21,8,10,2,1,3,1,0
Brimfield,209,260,5,1,316,92,79,89,31,2,2,1,1,1,0,0,1
Brockton,8058,4473,58,22,2593,413,500,361,132,61,14,9,9,4,4,0,1
Brookfield,177,314,4,0,259,40,61,66,23,4,3,1,2,0,0,0,0
Brookline,9174,5720,23,8,749,937,874,211,41,19,7,2,5,2,1,1,1
Buckland,132,380,0,0,53,45,20,9,11,2,0,1,0,0,3,0,0
Burlington,2328,2131,27,4,1749,487,631,342,73,27,9,9,4,4,1,0,1
Cambridge,15758,13689,44,22,783,1055,914,213,57,29,2,28,4,11,1,4,3
Canton,2392,1960,24,5,1390,554,560,237,60,26,9,3,2,1,0,0,2
Carlisle,835,650,0,2,243,258,163,56,13,24,1,4,0,1,0,2,0
Carver,673,907,8,4,946,170,197,149,55,14,2,7,1,1,1,0,0
Charlemont,89,216,0,0,60,20,25,11,8,0,1,1,1,0,0,0,0
Charlton,607,1010,11,1,1017,252,273,234,45,15,6,10,3,2,3,0,0
Chatham,669,661,3,1,528,281,238,78,32,23,3,0,1,1,1,1,1
Chelmsford,3029,3718,36,9,2507,1036,960,499,101,51,25,16,15,4,1,1,1
Chelsea,2270,1535,15,9,466,86,116,63,16,9,3,3,0,2,2,1,2
Cheshire,257,321,2,1,163,28,30,33,17,6,0,0,1,1,0,2,0
Chester,64,102,1,0,107,29,30,21,5,1,0,1,1,1,1,0,0
Chesterfield,90,225,0,0,68,27,13,16,5,1,0,1,2,0,0,0,0
Chicopee,3741,3893,40,22,2581,599,564,512,131,19,9,23,7,9,8,6,2
Chilmark,162,220,0,0,28,25,9,6,1,1,0,0,0,0,0,0,0
Clarksburg,125,140,0,1,59,19,29,11,5,5,0,0,0,0,0,0,0
Clinton,1036,1255,24,7,690,152,243,141,61,24,0,5,5,1,2,0,1
Cohasset,849,647,3,2,514,427,365,98,25,16,4,2,2,0,2,1,0
Colrain,93,313,1,0,71,34,16,14,11,1,1,1,0,0,0,1,0
Concord,3341,2042,8,1,590,783,608,151,55,28,4,6,4,0,1,1,0
Conway,224,476,1,0,74,43,34,11,8,1,1,1,0,0,0,0,0
Cummington,75,214,0,0,38,8,11,9,1,0,0,3,0,0,0,0,0
Dalton,597,656,3,4,186,104,119,64,20,3,3,2,1,1,6,0,0
Danvers,2185,2503,17,6,2060,666,590,366,85,48,14,10,5,3,4,2,3
Dartmouth,2538,2458,21,6,1667,418,510,274,92,29,6,7,3,3,4,11,2
Dedham,2838,2585,26,9,1450,566,510,249,46,29,11,11,5,3,1,1,1
Deerfield,536,986,2,0,181,146,94,42,17,5,2,1,0,0,2,0,1
Dennis,1560,1458,13,7,1204,465,372,216,82,30,10,5,4,4,0,2,1
Dighton,383,506,3,1,532,114,153,137,40,5,3,1,0,1,0,0,1
Douglas,358,596,6,2,662,145,181,171,59,7,2,8,2,2,3,0,0
Dover,657,397,0,1,354,397,253,78,13,16,4,0,2,1,1,0,1
Dracut,2035,2762,37,19,3037,481,624,394,104,32,7,10,8,3,4,5,2
Dudley,554,689,8,4,702,125,202,159,46,9,6,0,0,0,0,2,0
Dunstable,277,375,1,0,322,115,125,55,10,5,2,3,0,0,0,0,0
Duxbury,1487,1215,8,4,1051,731,640,266,52,35,10,6,5,2,0,2,1
E. Bridgewater,854,1094,7,4,1209,239,231,184,60,21,6,7,2,2,0,1,1
E. Brookfield,106,195,4,0,181,45,53,53,16,7,1,0,0,0,0,0,0
E. Longmeadow,1086,1076,10,4,1071,431,399,283,63,8,7,6,1,1,2,2,1
Eastham,652,737,6,0,340,134,121,66,28,14,2,2,2,2,0,2,0
Easthampton,1447,2792,11,1,619,240,199,132,34,7,5,9,3,1,3,1,0
Easton,1787,1891,10,4,1556,551,610,278,74,29,4,8,5,0,4,9,0
Edgartown,473,549,2,1,189,82,61,38,10,9,1,0,3,2,2,2,0
Egremont,188,211,1,0,27,15,16,5,4,1,1,1,0,0,0,1,0
Erving,90,225,0,0,56,35,15,9,5,0,2,1,0,0,1,0,0
Essex,354,429,2,0,284,154,120,47,17,12,2,2,1,0,1,0,1
Everett,2897,2204,28,16,1126,143,183,110,34,10,2,4,1,3,2,4,0
Fairhaven,1246,1558,12,2,1024,156,238,142,57,9,2,4,1,3,5,1,3
Fall River,5938,4328,55,23,2249,291,487,367,133,24,5,13,7,13,5,3,3
Falmouth,3680,3605,25,3,2171,844,677,406,113,60,24,10,3,6,6,4,2
Fitchburg,2326,2697,28,6,1679,344,524,327,158,43,9,18,3,6,11,1,2
Florida,49,92,1,0,45,5,11,17,3,2,0,0,0,1,0,0,0
Foxborough,1427,1538,12,4,1257,437,515,244,65,20,8,6,7,1,5,2,2
Framingham,6972,5224,26,18,2177,1069,956,444,120,55,27,18,5,5,6,3,1
Franklin,2606,2658,15,7,1885,878,1020,401,85,42,15,7,8,5,3,1,3
Freetown,564,694,5,2,693,124,191,100,37,5,3,3,2,5,1,3,1
