County,Clinton_Hillary,De La Fuente_Rocky,O'Malley_Martin,Sanders_Bernie,Wilson_Willie,Bush_Jeb,Carson_Ben,Christie_Chris,Cruz_Ted,Fiorina_Carly,Graham_Lindsey,Huckabee_Mike,Kasich_John,Pataki_George,Paul_Rand,Rubio_Marco,Santorum_Rick,Trump_Donald
Adams,3215,5,13,451,11,29,30,5,1053,1,2,5,314,1,4,208,1,1489
Alcorn,849,3,8,318,21,11,81,4,2053,3,1,14,428,0,8,352,4,2972
Amite,1304,2,7,132,14,20,15,2,888,1,1,5,134,0,3,82,1,1230
Attala,1588,4,11,206,7,15,40,3,974,1,2,12,183,1,0,140,1,1402
Benton,631,0,1,107,3,6,12,2,402,1,0,7,37,0,1,44,1,617
Bolivar,3118,10,6,519,9,3,54,5,608,2,1,12,382,1,1,170,1,1409
Calhoun,750,3,3,120,7,6,44,2,817,1,1,11,116,1,3,84,0,1324
Carroll,834,4,4,82,2,5,22,4,651,1,1,13,149,1,2,86,0,1139
Chickasaw,1492,5,10,275,6,9,48,0,735,0,3,19,101,1,1,106,2,1079
Choctaw,343,4,0,98,2,12,29,2,642,1,0,3,108,0,2,70,0,800
Claiborne,1751,3,5,193,4,0,7,0,68,0,0,1,17,0,0,16,0,148
Clarke,1117,5,4,160,6,4,74,1,1112,0,3,7,186,0,4,131,1,1483
Clay,2457,9,9,360,17,12,43,3,893,1,2,7,190,2,2,119,1,1100
Coahoma,2377,15,17,463,22,3,13,2,288,1,0,2,148,0,1,66,0,621
Copiah,3390,11,13,412,17,22,46,3,1353,3,3,7,262,1,0,161,4,2036
Covington,1366,4,8,165,5,6,36,5,1095,1,0,8,129,1,6,79,0,1737
DeSoto,5620,6,19,2019,7,51,259,24,12437,4,1,40,1510,2,57,1516,8,10623
Forrest,3781,10,21,1385,8,43,137,10,3705,7,2,13,1174,2,14,507,4,4295
Franklin,720,0,5,322,8,7,39,0,647,2,0,5,82,0,2,59,0,768
George,370,1,8,128,5,15,68,7,1985,1,3,8,171,0,5,209,3,2322
Greene,374,4,1,61,5,12,27,3,828,2,2,9,90,0,3,100,2,1092
Grenada,1804,5,10,258,5,14,40,3,995,1,2,19,241,1,0,150,6,1836
Hancock,941,8,7,546,4,31,79,10,2045,4,1,8,617,1,20,376,1,4267
Harrison,6945,15,22,2345,31,105,285,25,7872,16,8,25,2482,1,53,1395,14,12630
Hinds,32207,24,35,5899,150,85,188,17,6055,9,6,37,3274,8,37,1348,10,7326
Holmes,3301,7,7,231,9,2,6,2,207,1,0,4,74,0,0,29,0,429
Humpphreys,1554,8,11,90,19,5,11,7,121,12,13,19,60,18,22,44,24,404
Issaquena,175,1,1,20,1,4,1,0,26,0,0,0,14,0,0,8,0,117
Itawamba,389,6,5,157,6,11,63,6,1799,3,2,17,237,1,2,193,2,1949
Jackson,5019,14,25,1520,21,90,256,25,7158,15,4,26,1746,3,33,1168,6,10058
Jasper,2043,7,14,210,5,13,26,1,848,0,2,7,97,0,3,48,0,1351
Jefferson,1551,5,5,175,6,1,2,1,85,0,0,0,19,0,0,16,0,116
