County,Clinton_Hillary,Sanders_Bernie,Adams_Jon,Judd_Keith,De La Fuente_Rocky,Hewes_Henry,O'Malley_Martin,Wilson_Willie,Wolfe_John,Trump_Donald,Cruz_Ted,Kasich_John,Rubio_Marco,Carson_Ben,Huckabee_Mike,Bush_Jeb,Paul_Rand,Christie_Chris,Fiorina_Carly,Santorum_Rick,Lynch_Jim
Adair,799,1153,1,1,0,0,0,0,0,1404,1164,513,299,34,21,16,7,3,3,1,0
Andrew,498,728,3,2,1,0,1,2,0,1457,1290,404,221,43,16,18,8,14,5,3,1
Atchison ,141,173,0,0,0,0,0,1,0,487,325,123,135,24,2,4,5,0,0,1,0
Audrain ,749,728,2,4,2,4,3,0,1,1611,1642,423,229,43,5,23,13,12,3,4,0
Barry,874,796,1,2,0,2,1,2,0,3030,3189,400,255,53,28,20,16,10,3,4,0
Barton ,205,214,0,0,0,0,2,0,0,986,1560,170,103,30,13,13,3,7,1,0,0
Bates ,518,632,2,1,3,3,1,5,3,1306,1080,199,143,40,16,16,6,10,1,2,0
Benton ,669,567,0,0,0,1,1,0,1,2278,1314,287,138,45,7,14,8,4,3,4,0
Bollinger,242,203,0,0,0,2,0,0,2,1272,1111,141,98,18,3,10,3,8,1,0,1
Boone,9628,15076,5,7,7,13,18,6,7,7898,11219,3728,2106,229,26,91,62,45,27,27,8
Buchanan,3443,4148,8,7,4,8,6,7,7,4691,3878,1478,847,150,40,46,27,27,11,11,2
Butler ,889,766,2,3,6,8,2,3,2,3652,2676,427,324,76,21,18,15,11,1,3,0
Caldwell,244,314,0,0,0,1,0,0,0,780,701,149,96,17,11,12,2,2,2,3,1
Callaway,1378,1678,3,4,2,2,5,2,3,3141,3261,584,366,90,17,31,15,13,6,7,0
Camden,1388,1419,1,1,2,6,1,5,3,5467,2985,846,473,80,27,28,8,16,2,3,1
Cape Girardeau ,2076,2335,3,2,2,4,6,2,2,6137,7332,1245,694,115,29,45,27,30,11,11,0
Carroll,233,255,0,1,0,1,0,0,1,1004,656,150,90,19,10,11,1,2,1,1,0
Carter,138,142,0,0,0,3,0,0,0,623,404,59,50,6,9,4,2,3,0,2,0
Cass,3765,4185,5,1,2,11,7,5,4,6886,7671,1648,1064,161,33,52,30,33,14,16,4
Cedar,332,361,0,0,0,1,2,0,0,1355,1404,182,102,50,12,10,10,7,4,4,1
Chariton,321,274,1,1,0,3,1,2,3,597,569,132,74,19,5,3,0,6,0,2,0
Christian ,2146,3073,5,1,2,3,2,1,0,6907,10586,1181,833,154,51,39,33,23,8,12,0
Clark,202,178,0,2,2,0,2,1,0,545,456,77,51,25,3,6,4,5,2,2,1
Clay,10630,12542,9,8,12,12,16,7,9,12291,13559,3884,2368,231,50,117,69,49,27,15,6
Clinton ,765,852,3,4,4,3,1,1,1,1635,1394,277,211,48,7,12,9,11,2,5,3
Cole,2798,3303,4,3,4,9,5,2,3,5553,6159,1587,1065,163,38,61,23,26,12,8,2
Cooper,516,501,1,1,2,1,0,3,1,1248,1369,256,137,32,6,14,4,4,1,3,0
Crawford,522,712,3,3,3,5,1,3,2,2189,1522,155,152,34,8,21,10,9,3,4,0
Dade,201,213,0,2,0,0,0,0,0,787,997,112,69,19,9,8,2,3,0,2,0
Dallas,397,515,1,1,1,1,1,2,1,1672,1618,179,126,21,7,10,8,5,0,2,0
Daviess,239,221,1,0,1,1,0,0,0,634,410,105,74,11,6,3,2,5,1,2,0
DeKalb,221,328,0,0,1,3,2,1,3,800,718,127,105,34,3,3,5,6,1,3,0
Dent,327,449,1,3,1,4,1,1,3,1688,1198,168,139,33,23,14,3,3,2,2,0
Douglas,268,384,1,2,0,1,0,1,0,1657,1155,133,93,38,15,10,8,7,1,2,0
Dunklin,724,448,1,0,1,0,0,0,0,1781,1037,179,113,36,8,10,6,4,1,1,1
Franklin,3701,4784,10,12,3,10,10,2,4,9080,8117,1561,1148,170,53,91,40,38,16,18,0
Gasconade,401,507,0,1,0,1,0,0,0,1429,1276,203,141,39,8,10,8,10,0,4,0
Gentry,171,176,1,1,0,1,0,1,0,435,405,116,69,22,10,3,0,4,0,2,0
Greene,10910,17403,12,5,20,20,9,9,8,16649,26784,4618,2684,460,107,155,102,72,14,42,2
Grundy,219,262,1,0,1,0,0,3,1,978,673,163,79,26,11,9,3,0,1,2,0
Harrison,158,163,0,0,0,0,0,2,0,755,591,141,85,16,4,9,6,5,2,2,2
Henry,780,696,2,3,1,4,1,2,2,1636,1395,354,191,35,18,11,8,6,1,1,1
Hickory,73,60,0,0,0,0,1,0,0,297,178,19,30,2,1,4,0,2,0,0,0
Holt,128,110,1,0,1,0,1,0,0,504,381,81,69,8,4,3,3,8,1,0,0
Howard,413,408,4,0,2,1,2,0,1,693,798,135,78,7,4,6,6,5,2,2,0
Howell,833,1209,0,2,2,7,1,2,2,4230,3146,491,351,105,49,19,9,9,6,9,0
Iron,349,426,1,0,2,5,4,1,0,800,638,78,74,25,4,6,2,2,0,2,0
Jackson ,48860,42823,43,25,50,48,45,35,20,26714,28661,9426,5016,679,121,259,170,138,51,61,13
Jasper,2289,3826,3,3,4,5,3,3,4,6725,11113,1360,1047,186,49,70,26,49,13,11,0
Jefferson ,9637,11830,21,12,12,29,16,13,14,17781,13883,233,2005,294,68,120,83,64,5,26,0
Johnson ,1473,1944,2,5,3,4,2,2,0,3035,2987,713,483,104,15,41,14,18,6,9,0
Knox,134,94,2,0,0,0,0,0,0,343,260,64,32,5,4,2,2,1,0,1,0
Laclede,737,927,3,2,2,2,2,0,1,3493,3229,453,310,80,27,33,11,14,2,3,0
Lafayette,1173,1324,5,2,2,2,1,5,3,2518,2349,561,372,61,16,34,7,11,7,5,1
Lawrence,872,1028,1,2,2,5,1,0,0,3135,4235,429,264,84,15,38,7,14,4,6,0
Lewis,239,239,1,1,1,2,0,1,0,801,601,104,60,22,2,2,2,4,0,0,0
Lincoln,1561,1976,2,0,5,13,5,5,5,4144,3730,413,350,87,17,24,11,11,4,8,1
Linn,436,409,0,0,0,1,4,1,1,955,856,149,107,24,7,14,6,4,0,2,1
Livingston ,397,398,1,1,1,5,2,1,0,1191,886,261,149,33,13,18,6,11,1,2,1
Macon ,421,505,2,4,1,6,2,4,0,1489,1246,273,124,36,13,9,5,4,3,1,0
Madison,346,334,4,1,1,3,3,0,1,916,808,119,76,24,2,7,5,3,1,1,0
Maries,305,291,1,0,0,1,0,1,0,958,748,88,61,21,6,8,2,4,1,1,0
Marion,925,707,5,3,1,0,1,6,4,2064,2263,370,242,62,16,13,7,8,2,5,0
McDonald,364,385,1,0,2,1,0,6,0,1580,1571,171,151,38,15,12,4,6,2,4,0
Mercer,69,63,0,1,0,0,0,0,0,455,208,48,22,6,3,5,3,5,0,1,0
Miller,432,480,2,2,2,2,3,2,0,2482,1918,325,213,39,14,26,11,12,4,2,1
Mississippi,486,209,2,0,1,2,3,1,0,970,654,106,62,16,4,5,1,1,0,0,0
Moniteau,340,409,2,1,1,3,2,0,1,1144,1374,218,141,32,12,15,7,2,5,1,0
Monroe,252,226,1,1,1,3,1,1,1,698,694,129,59,14,4,5,2,4,1,2,0
Montgomery ,330,324,1,0,2,1,0,1,0,1192,898,166,93,19,6,6,7,2,1,2,0
Morgan ,554,506,2,0,1,2,0,2,0,1976,1345,240,165,37,13,11,3,6,2,3,0
New Madrid,691,360,6,1,0,6,1,0,0,1376,868,119,90,17,11,4,1,4,1,0,2
Newton,1240,1553,7,4,1,3,6,2,1,4303,6452,789,500,86,29,28,17,19,2,3,1
Nodaway ,616,831,3,2,3,3,1,0,2,1268,1265,461,281,62,17,28,6,10,3,2,0
Oregon ,319,271,1,3,0,1,0,0,0,941,687,84,59,11,16,4,8,3,0,0,0
Osage,314,326,3,1,1,3,0,0,2,1316,1207,207,129,35,2,14,6,3,0,1,1
Ozark,217,293,1,0,1,2,0,0,0,1099,841,117,66,14,7,18,10,3,1,0,0
Pemiscot,602,250,1,1,0,3,2,1,0,1155,630,98,74,22,15,7,5,2,1,0,0
Perry,436,437,1,2,2,1,0,1,0,1561,1530,291,196,27,6,15,5,10,2,9,1
Pettis,1265,1509,1,1,4,7,2,6,1,3343,2697,634,454,103,26,45,11,21,8,8,4
Phelps,1137,1744,4,2,1,44,3,2,1,3425,2978,553,419,78,26,29,18,14,2,6,2
Pike,661,475,2,0,1,2,3,2,0,1241,1096,179,99,35,0,11,5,7,0,2,0
Platte,4645,5142,4,1,3,6,4,4,2,5492,5798,2134,1056,113,19,46,24,13,16,10,0
Polk,744,851,2,1,0,1,2,2,1,2240,3430,420,264,55,23,20,12,16,3,7,2
Pulaski,860,1020,2,1,4,10,1,1,0,2802,1872,392,269,58,25,20,10,6,5,6,3
Putnam,102,108,1,0,1,0,0,0,0,565,303,98,49,22,5,11,3,2,1,1,0
Ralls,415,311,6,1,0,5,3,2,0,961,831,124,90,23,6,3,1,2,0,6,0
Randolph,647,750,7,2,1,6,3,3,1,1887,1659,299,195,50,10,13,7,9,1,5,1
Ray,942,968,4,1,5,3,1,1,2,1565,1459,250,166,41,7,13,10,8,4,2,2
Reynolds,230,228,0,0,1,5,6,1,5,647,357,44,37,7,3,2,2,1,0,0,0
