County,Bush_Jeb,Cruz_Ted,Kasich_John,Rubio_Marco,Trump_Donald,Clinton_Hillary,Sanders_Bernie
Beaverhead,91,203,213,98,1699,244,323
Big Horn,14,78,22,28,704,414,486
Blaine,16,52,25,20,488,280,406
Broadwater,41,143,54,47,1005,190,257
Carbon,28,173,100,66,1515,616,689
Carter,10,68,23,14,349,21,26
Cascade,232,847,795,325,8208,4851,3744
Chouteau,36,94,95,35,860,267,182
Custer,36,125,84,76,1370,476,388
Daniels,6,24,43,14,340,65,44
Dawson,49,158,153,59,1686,228,234
Deer Lodge,12,74,31,29,747,990,797
Fallon,17,81,47,34,734,34,21
Fergus,60,256,201,93,1982,415,358
Flathead,228,1191,1092,425,11715,3285,4487
Gallatin,344,1558,1137,551,8384,6002,8543
Garfield,5,40,15,15,358,9,17
Glacier,11,45,16,15,434,976,1140
Golden Valley,2,23,15,4,203,27,29
Granite,14,59,46,20,487,138,216
Hill,50,121,110,52,1347,868,876
Jefferson,33,242,138,67,1651,716,788
Judith Basin,21,54,50,25,421,69,69
Lake,76,312,268,103,2947,1350,1629
Lewis & Clark,220,950,691,375,6243,5402,5569
Liberty,20,42,38,11,387,78,74
Lincoln,55,233,140,74,3075,668,847
Madison,48,168,194,68,1412,312,361
McCone,1,38,16,10,410,65,58
Meagher,9,35,34,10,396,56,58
Mineral,24,75,48,40,640,174,216
Missoula,230,1041,719,398,7702,8229,13916
Musselshell,20,123,44,28,1040,92,116
Park,49,234,158,81,1945,916,1521
Petroleum,3,9,9,6,167,16,16
Phillips,22,84,72,25,1100,81,91
Pondera,32,101,77,43,931,257,237
Powder River,14,48,41,13,516,24,34
Powell,18,104,51,37,821,205,251
Prairie,11,36,12,15,270,48,44
Ravalli,160,1135,638,284,6314,1866,2169
Richland,29,153,109,67,1438,218,158
Roosevelt,14,66,26,21,713,317,399
Rosebud,15,90,41,31,963,250,363
Sanders,44,212,140,62,1994,405,593
Sheridan,20,37,47,21,500,171,154
Silver Bow,78,306,209,140,2673,4103,3523
Stillwater,35,215,125,68,1662,291,307
Sweet Grass,12,93,68,32,708,107,132
Teton,25,105,73,28,885,374,460
Toole,36,80,80,54,872,129,107
Treasure,5,15,7,8,144,34,43
Valley,42,161,96,58,1251,344,338
Wheatland,12,36,27,15,381,48,52
Wibaux,3,26,21,4,231,36,16
Yellowstone,536,2610,1953,850,18176,7958,7184
