County,Clinton_Hillary,Sanders_Bernie,Carson_Ben,Cruz_Ted,Kasich_John,Rubio_Marco,Trump_Donald
Adams,780,792,294,725,486,192,2798
Antelope,82,133,83,217,86,33,772
Arthur,1,10,10,32,8,4,68
Banner,5,2,16,42,9,4,108
Blaine,9,4,2,20,6,3,99
Boone,130,160,49,187,154,45,740
Box Butte,190,251,80,258,173,49,1188
Boyd,35,42,25,68,43,13,327
Brown,23,32,36,79,33,18,555
Buffalo,684,700,365,986,586,234,3748
Burt,207,154,67,104,96,43,603
Butler,214,320,83,298,125,62,910
Cass,561,557,138,673,283,84,1811
Cedar,163,232,92,337,180,53,775
Chase,29,35,24,100,36,28,476
Cherry,65,76,87,339,136,27,1220
Cheyenne,124,134,102,238,137,36,1130
Clay,94,128,60,177,73,26,702
Colfax,171,155,35,119,67,27,494
Cuming,117,144,54,199,130,40,783
Custer,168,177,136,417,125,48,1306
Dakota,475,309,63,194,84,54,819
Dawes,149,171,166,253,129,43,831
Dawson,290,281,172,453,286,85,1950
Deuel,12,24,12,38,25,4,274
Dixon,136,143,48,205,111,24,513
Dodge,891,721,243,575,457,158,2760
Douglas,12167,9368,1620,6102,4916,1503,23754
Dundy,18,18,10,62,26,4,219
Fillmore,151,133,53,148,102,35,574
Franklin,43,50,16,64,30,12,333
Frontier,28,24,19,62,34,10,315
Furnas,56,68,45,116,57,31,546
Gage,616,481,95,633,390,58,1407
Garden,25,27,18,61,22,10,372
Garfield,22,27,26,58,23,10,227
Gosper,38,43,22,43,40,9,259
Grant,2,6,11,41,10,5,162
Greeley,72,177,13,64,23,11,125
Hall,1351,1136,261,899,689,205,3818
Hamilton,171,159,112,492,206,58,1030
Harlan,64,90,27,151,71,19,436
Hayes,14,8,9,33,5,7,103
Hitchcock,32,31,26,62,23,11,305
Holt,99,128,140,271,150,47,1302
Hooker,8,6,16,23,11,3,119
Howard,129,154,48,137,71,38,534
Jefferson,97,120,47,147,89,22,533
Johnson,73,78,35,82,57,18,326
Kearney,103,93,68,160,64,34,614
Keith,90,127,95,260,144,46,1253
Keya Paha,10,12,20,31,15,4,203
Kimball,23,38,38,83,40,12,439
Knox,96,119,62,193,102,27,642
Lancaster,12155,10107,1181,6727,4660,1203,13251
Lincoln,663,640,268,854,361,141,3235
Logan,18,12,25,60,12,3,166
Loup,8,8,6,25,10,5,101
Madison,323,397,217,760,347,163,2280
McPherson,5,9,12,41,9,9,114
Merrick,120,134,65,319,124,36,775
Morrill,58,55,55,140,79,18,695
Nance,89,86,25,58,40,15,310
Nemaha,129,138,64,175,79,42,472
Nuckolls,78,66,49,86,45,18,446
Otoe,347,351,151,383,277,63,1255
Pawnee,56,65,16,60,39,15,225
Perkins,37,36,41,125,59,11,331
Phelps,114,150,86,308,165,50,963
Pierce,50,72,41,177,69,43,617
Platte,455,573,229,738,467,145,2902
Polk,84,73,44,156,99,25,436
Red Willow,138,148,94,227,127,52,1178
Richardson,173,177,59,164,107,25,699
Rock,10,20,26,74,31,13,308
Saline,339,339,52,176,102,23,562
Sarpy,2558,2078,680,2837,1682,632,9459
Saunders,351,415,146,533,286,111,1772
Scotts Bluff,431,355,151,778,403,111,2397
Seward,235,208,99,467,228,54,935
Sheridan,30,65,58,134,55,23,809
Sherman,90,125,15,57,42,11,263
Sioux,19,13,12,81,25,8,191
Stanton,66,106,24,250,100,34,537
Thayer,89,81,43,132,86,28,466
Thomas,7,11,9,30,14,7,176
Thurston,117,134,22,58,32,14,238
Valley,120,103,45,128,54,20,514
Washington,496,374,217,572,367,156,2296
Wayne,185,162,73,244,149,78,706
Webster,48,68,29,85,26,13,370
Wheeler,13,13,8,20,15,8,79
York,112,116,97,368,180,57,1048
