County,Clinton_Hillary,Sanders_Bernie,Trump_Donald,Rubio_Marco,Cruz_Ted,Carson_Ben,Kasich_John,Christie_Chris,Paul_Rand,Bush_Jeb,Fiorina_Carly,Santorum_Rick,Huckabee_Mike
Carson City,79,83,1066,600,462,208,102,7,4,3,1,1,0
Churchill,46,46,538,342,312,108,43,1,3,1,0,0,1
Clark,4774,3928,20132,10114,7857,1488,1399,8,100,26,10,6,6
Douglas,85,72,1683,1251,1195,281,199,2,3,1,1,1,1
Elko,38,50,600,503,1039,172,37,2,8,6,1,1,1
Esmerelda,7,15,46,8,9,7,3,0,0,1,0,0,0
Eureka,3,19,81,31,67,8,7,0,1,0,0,0,0
Humboldt,27,53,361,182,189,85,42,0,1,2,0,0,1
Lander,20,48,165,72,148,20,9,0,1,0,0,0,0
Lincoln ,38,25,82,46,127,27,3,0,0,0,0,0,0
Lyon,80,88,1399,506,711,208,67,0,3,2,2,0,2
Mineral ,39,34,97,38,37,13,6,0,0,0,0,0,0
Nye,94,65,980,220,408,83,24,1,10,7,1,0,1
Pershing,32,33,118,57,82,21,12,0,0,0,0,0,0
Storey,35,38,161,57,79,70,8,0,0,0,0,0,0
Washoe,872,1035,6850,3815,3240,794,731,28,36,12,6,2,7
White Pine,47,46,172,98,117,26,17,1,0,3,0,0,1
