County ,Adams_Jon,Burke_Steve,Clinton_Hillary,De La Fuente_Rocky,Elbot_Eric,French_William,Greenstein_Mark,Hewes_Henry,Hutton_Brock,Judd_Keith,Kelso_Lloyd,Lipscomb_Steven,Locke_Star,Lovitt_Robert,McGaughey_William,Moroz_Raymond,O'Donnell_Edward,O'Malley_Martin,Sanders_Bernie,Schwass_Graham,Sloan_Sam,Sonnino_Edward,Steinberg_Michael,Supreme_Vermin,Thistle_David,Valentine_James,Weil_Richard,Wolfe_John,Bush_Jeb,Carson_Ben,Christie_Chris,Comley_Stephen,Cook_Tim,Cruz_Ted,Cullison_Brooks,Drozd_Matt,Dyas_J.Daniel,Fiorina_Carly,Gilmore_Jim,Graham_Lindsey,Huckabee_Mike,Huey_Kevin,Iwachiw_Walter,Jindal_Bobby,Kasich_John,Lynch_Frank,Mann_Robert,Martin_Andy,McCarthy_Stephen,Messina_Peter,Pataki_George,Paul_Rand,Prag_Chomi,Robinson_Joe,Rubio_Marco,Santorum_Rick,Trump_Donald,Witz_Richard
Belknap ,4,4,3313,187,1,0,0,0,0,2,3,1,2,2,0,1,2,33,5606,407,2,0,0,10,11,3,0,3,1741,390,1002,2,6,2019,2,0,1,674,5,4,9,0,0,0,2464,7,0,12,0,0,5,79,0,3,1511,12,5508,7
Carroll,2,3,3230,4,2,2,2,0,0,1,1,0,1,2,2,0,5,20,5638,4,1,0,0,11,6,0,0,0,1240,280,883,3,2,1357,3,0,1,441,4,4,8,1,0,2,2279,0,0,8,0,0,1,61,0,0,1430,9,4170,9
Cheshire,3,7,5132,8,4,2,2,1,0,4,3,2,1,1,1,0,1,42,12441,5,2,1,2,14,6,1,1,6,1500,517,754,1,4,1888,1,0,4,565,5,5,7,1,1,5,2177,2,0,42,0,0,5,115,1,2,1237,9,4533,6
Coos,1,6,2013,4,0,0,1,0,0,1,0,1,0,1,1,0,1,20,3639,4,1,2,0,1,10,0,0,0,562,174,355,2,0,601,0,0,0,275,3,5,7,0,0,1,943,0,0,8,3,1,3,39,0,1,614,6,2184,3
Grafton,4,9,6918,4,1,3,1,1,0,2,2,2,1,1,0,2,0,41,14245,5,0,0,1,9,14,0,0,5,1864,470,1068,0,5,1726,2,1,1,684,10,4,23,1,2,2,3475,5,1,19,0,0,10,143,1,5,1926,9,4897,9
Hillsborough,13,35,28147,36,12,6,7,10,5,13,12,2,5,4,4,24,11,202,39245,32,4,6,11,82,91,13,4,17,9584,1729,7155,9,16,9606,16,2,4,3616,44,16,49,2,1,11,12517,18,2,46,4,2,12,635,4,10,8824,45,29328,20
Merrimack,4,7,12250,6,3,5,6,2,1,6,3,2,8,3,2,0,3,78,18107,21,1,4,4,39,24,1,3,4,3814,753,2376,6,9,3781,3,1,2,1511,21,11,31,0,1,10,6178,3,0,14,2,1,14,196,4,6,3062,11,10959,8
Rockingham,17,20,22829,19,12,7,3,4,3,9,14,4,9,4,8,0,2,123,31065,41,2,3,0,54,40,3,0,12,7748,1447,5783,6,9,7991,20,1,0,2829,21,16,43,1,4,13,10370,6,2,33,1,0,15,417,2,11,8074,43,28718,31
Strafford,3,9,8813,7,1,2,6,0,4,4,3,0,3,2,1,0,1,72,15881,20,0,1,2,31,15,2,0,6,2444,528,1225,3,4,3324,6,0,2,884,12,5,32,2,0,9,3195,3,0,11,1,1,12,193,4,5,2505,11,7358,14
Sullivan,2,7,2497,2,0,1,1,0,1,2,4,1,2,1,0,0,0,27,5915,4,1,0,1,14,5,2,0,1,844,239,488,0,0,951,3,1,0,295,9,3,7,0,0,0,1334,3,0,9,1,0,2,52,0,1,888,5,3080,2
