County,Trump_Donald,Kasich_John,Cruz_Ted,Clinton_Hillary,Sanders_Bernie
Atlantic,11915,1690,1046,13122,8511
Bergen,34395,5140,2386,8612,6373
Burlington,20602,4438,1950,32712,19067
Camden,13329,2664,1735,43720,26383
Cape May,8338,1451,729,3964,3249
Cumberland,4949,591,440,5640,641
Essex,11600,2199,847,75071,27449
Gloucester,11857,1788,1159,13588,10493
Hudson,6506,905,765,49798,25112
Hunterdon,12450,3051,898,5780,5328
Mercer,8669,2288,902,29505,15098
Middlesex,20995,2571,1343,47978,30498
Monmouth,35208,4475,1985,30859,22213
Morris,38252,9296,3133,24226,17259
Ocean,44672,3741,2354,19572,16305
Passaic,16662,1822,1233,29538,14776
Salem,2994,461,381,2814,2163
Somerset,16861,4136,1345,19667,12235
Sussex,14024,1989,1179,3982,5283
Union,12088,3038,918,39934,18110
Warren,10025,1442,767,3399,3521
