County,Sanders_Bernie,Clinton_Hillary,Trump_Donald,Kasich_John,Cruz_Ted
Albany,21798,19914,6793,5026,2390
Allegany,1209,847,2827,1175,1159
Bronx,46189,105719,4730,1148,1164
Broome,9951,7641,8923,5138,3953
Cattaraugus,2481,1844,3636,1419,1298
Cayuga,2805,2592,3024,1942,1136
Chautauqua,4431,3865,5027,2294,2016
Chemung,2752,2740,4208,2372,1820
Chenango,1613,1062,2659,1394,1133
Clinton,4797,1774,2487,1389,739
Columbia,3660,3039,2662,1271,744
Cortland,2037,1515,1710,1276,900
Delaware,1813,1172,2831,1142,846
Dutchess,12395,11701,12872,4401,2840
Erie,52473,54279,39589,13136,7964
Essex,2145,838,1918,1274,664
Franklin,2512,1076,1460,763,433
Fulton,1475,1010,3456,1552,1036
Genesee,1622,1393,3815,1282,1032
Greene,1566,1195,2689,838,705
Hamilton,245,141,565,326,210
Herkimer,1873,1507,4193,1877,1042
Jefferson,2656,2579,5190,2860,1235
Kings,123872,183662,15920,4024,4872
Lewis,703,492,1643,898,476
Livingston,2516,1685,3957,1724,1329
Madison,2528,2039,3108,2214,1358
Monroe,36490,39310,28034,16870,9537
Montgomery,1732,1298,2039,865,793
Nassau,44731,74870,69692,22722,9902
New York,98194,190806,11196,12181,3586
Niagara,9294,8202,11450,3321,2406
Oneida,7739,6586,11332,5398,3335
Onondaga,19186,21786,15155,12055,6075
Ontario,4445,4040,5558,3380,2061
Orange,12077,12855,16659,4372,3120
Orleans,923,725,2643,799,702
Oswego,3273,2631,6423,3285,2026
Otsego,2868,1995,2719,1516,1035
Putnam,3832,3718,6027,1587,986
Queens,81762,133210,20951,5601,4495
Rensselaer,7003,5068,4758,2600,1576
Richmond,15471,17612,21521,2690,2096
Rockland,11790,17868,9219,3158,2367
Saratoga,9694,7672,11673,8272,4404
Schenectady,7241,6526,4496,2946,2010
Schoharie,1216,706,1497,638,640
Schuyler,876,548,979,461,405
Seneca,1247,1125,1585,854,521
St. Lawrence,4425,3142,3825,2036,1074
Steuben,2926,2149,6252,2755,2401
Suffolk,44033,53420,72359,18694,9099
Sullivan,2958,2369,2742,687,534
Tioga,1936,1318,2926,1546,1429
Tompkins,10130,6138,1821,1691,1342
Ulster,12435,7642,6388,2197,1332
Warren,2871,1868,3761,2772,1206
Washington,2274,1292,2458,1839,1048
Wayne,2436,1988,4472,2016,1627
Westchester,36753,74900,25880,13599,5245
Wyoming,958,639,2752,724,749
Yates,720,637,1388,884,425
