County,Sanders_Bernie,Clinton_Hillary,O'Malley_Martin,De La Fuente_Rocky,Carson_Ben,Fiorina_Carly,Christie_Chris,Trump_Donald,Bush_Jeb,Gilmore_Jim,Kasich_John,Rubio_Marco,Huckabee_Mike,Paul_Rand,Santorum_Rick,Cruz_Ted
Alamance,5827,7491,168,57,194,8,15,6586,45,6,1808,1309,45,42,12,7040
Alexander,1126,1151,59,14,50,2,8,2614,22,1,374,243,32,13,4,2842
Alleghany,575,565,36,7,12,4,2,798,6,0,160,99,9,3,2,502
Anson,927,2326,51,13,11,1,1,617,5,1,72,66,5,3,2,444
Ashe,1212,1229,41,7,50,1,3,2008,25,0,443,288,28,10,0,1602
Avery,435,330,7,2,81,7,8,1807,29,2,420,300,37,12,2,1475
Beaufort,1849,3054,111,28,100,7,5,3180,17,1,725,375,18,16,5,2699
Bertie,772,2094,56,9,9,0,2,351,0,1,43,30,1,0,0,477
Bladen,1525,3448,126,46,32,0,1,1402,5,0,93,97,5,7,1,803
Brunswick,4252,7192,126,39,180,15,30,11584,83,2,3627,1735,52,30,21,4599
Buncombe,30913,17604,344,102,265,31,30,8430,112,6,4229,2485,61,94,13,11433
Burke,3469,3527,134,42,120,13,22,4992,47,3,985,698,39,35,16,4291
Cabarrus,6931,8096,157,33,259,12,21,11300,78,2,2778,1731,43,55,8,10105
Caldwell,2119,2168,71,11,171,10,12,5618,55,2,1032,706,47,23,9,4591
Camden,299,469,27,5,15,0,1,753,6,0,94,142,3,5,0,428
Carteret,2724,2957,115,33,138,12,17,7146,55,3,1524,860,40,26,13,3966
Caswell,899,1745,60,22,27,2,1,1001,5,2,88,83,5,5,3,794
Catawba,4597,5336,117,52,218,16,26,11050,77,9,2366,1375,51,56,10,9750
Chatham,5562,7452,164,45,62,6,11,3138,41,1,1525,723,25,18,4,3428
Cherokee,1035,1033,73,17,76,2,5,2870,15,2,452,355,30,8,5,1849
Chowan,476,988,28,4,18,3,0,705,1,0,179,110,5,3,1,580
Clay,367,494,22,2,28,1,4,1242,7,0,203,164,12,4,0,896
Cleveland,3119,4892,168,31,111,5,5,4677,19,3,752,534,30,24,4,4260
Columbus,2020,3676,166,57,34,2,3,2185,10,0,186,150,11,3,1,1000
Craven,3275,5377,141,35,158,10,15,5786,48,1,1473,912,29,27,4,4438
Cumberland,11209,22918,431,113,249,21,27,10837,92,6,1738,1516,87,53,14,8057
Currituck,708,785,27,10,46,1,9,2392,22,1,466,396,7,18,4,1019
Dare,2337,2018,85,26,69,5,9,2671,10,0,833,445,14,28,2,1163
Davidson,3915,4572,148,33,292,17,28,11049,91,15,1916,1372,77,62,17,9434
Davie,1047,1397,33,10,98,6,16,3891,35,6,1247,631,46,27,10,3407
Duplin,1450,3036,97,38,54,3,5,2300,17,0,303,207,9,8,1,1859
Durham,26022,36204,243,67,116,18,12,4478,76,5,3427,2017,33,40,6,6228
Edgecombe,2066,6439,146,28,35,1,5,1171,8,0,101,142,6,4,2,1085
Forsyth,16779,24446,232,74,325,28,47,14043,119,8,7150,3428,85,79,25,15888
Franklin,2884,4977,147,28,66,5,8,3003,17,1,457,326,22,14,2,3458
Gaston,5814,7755,210,49,265,17,22,11597,75,3,2139,1809,73,47,9,9414
Gates,356,749,21,8,17,0,1,387,2,0,34,45,4,0,0,255
Graham,297,321,21,6,14,1,2,858,4,0,104,101,13,1,1,540
Granville,2715,4693,131,36,56,2,4,2215,15,2,319,256,11,9,4,2180
Greene,827,1675,62,19,5,3,2,604,1,0,64,47,4,0,1,677
Guilford,28406,38012,417,126,477,45,71,18523,170,14,8583,4789,167,127,35,20340
Halifax,2313,6224,169,49,30,2,1,1274,7,0,165,135,9,5,0,818
Harnett,3155,4696,168,35,114,9,9,5018,41,1,668,635,34,20,2,4706
Haywood,3896,3768,151,53,78,5,10,3103,34,3,877,616,35,21,6,2967
Henderson,5164,4857,72,21,170,13,24,7042,74,7,3231,1769,48,46,14,8373
Hertford,961,2938,70,27,13,1,2,359,1,0,47,42,1,2,0,258
Hoke,1856,3576,76,22,38,3,3,1341,13,0,133,166,4,11,1,964
Hyde,391,463,18,9,1,0,1,222,0,0,33,19,0,2,1,143
Iredell,5022,5903,183,46,253,18,28,12891,82,5,3125,1779,75,62,23,9433
Jackson,3070,2070,69,15,47,4,3,1660,24,1,555,379,21,15,0,1456
Johnston,6223,7992,259,52,235,12,22,10189,71,4,1559,1359,52,45,9,10826
Jones,502,911,28,16,18,0,0,579,4,0,55,38,2,1,0,412
Lee,2248,3224,90,28,41,7,3,2387,16,0,532,387,11,15,3,2233
Lenoir,2031,4986,165,35,70,3,5,2421,14,3,335,361,20,9,3,2000
Lincoln,2302,2821,83,15,134,13,5,6317,28,3,1204,943,37,27,8,5011
Macon,1442,1555,67,14,97,7,6,2901,26,2,791,529,23,16,5,2021
Madison,2062,1214,63,19,26,3,3,982,10,1,216,173,5,8,0,1009
Martin,1101,2479,79,23,16,2,2,802,2,0,92,85,3,4,0,865
Mcdowell,1631,1353,70,17,105,2,5,2564,27,3,538,447,23,7,2,2436
Mecklenburg,45604,71595,506,152,684,97,103,28634,281,28,20085,10658,198,274,54,26676
Mitchell,454,317,3,1,59,1,4,1777,11,2,403,264,29,5,1,1193
Montgomery,890,1379,60,18,46,1,3,1448,9,1,214,126,9,2,1,905
Moore,2948,4679,91,17,165,16,26,7347,85,2,3108,1168,29,41,18,5944
Nash,3715,8621,197,35,115,8,11,4428,40,3,760,677,28,30,7,4609
New Hanover,12276,12240,197,44,294,37,33,12631,129,9,5150,2696,73,90,19,7114
Northampton,1071,3211,84,31,18,1,2,560,1,0,60,51,4,3,1,327
Onslow,3284,4634,139,35,240,15,15,8445,72,4,1508,1188,39,46,10,5795
Orange,18250,17644,168,75,84,16,20,2895,43,3,2323,1447,23,37,4,3607
Pamlico,682,930,36,7,32,1,1,1012,3,0,237,127,2,3,2,560
Pasquotank,1159,2510,34,12,31,5,5,1374,7,0,274,234,10,9,0,947
Pender,1880,2880,88,31,84,8,8,4033,15,1,762,483,20,22,4,2222
Perquimans,483,720,31,9,21,1,1,732,3,1,202,136,8,5,1,538
Person,2161,2966,121,34,38,4,3,1882,14,0,196,211,14,6,0,1720
Pitt,7938,12158,331,82,197,14,14,5677,50,5,1692,1192,42,33,13,6713
Polk,1135,1109,22,8,34,6,2,1650,12,0,464,223,10,13,0,1138
Randolph,2914,2969,122,28,235,15,17,9108,64,4,1470,1131,67,47,13,9013
Richmond,1605,2973,93,32,28,3,1,1483,7,1,154,132,4,3,1,849
Robeson,5206,8457,361,106,64,4,7,2090,34,1,212,276,21,11,1,1332
Rockingham,3029,4483,180,45,151,6,6,4962,32,2,782,699,32,12,10,4497
Rowan,4016,5065,148,39,182,15,30,9427,69,5,1792,1096,85,46,10,7579
Rutherford,2329,2395,118,29,89,4,7,4157,23,2,683,544,22,11,3,2899
