County,Clinton_Hillary,De La Fuente_Rocky,Sanders_Bernie,Bush_Jeb,Carson_Ben,Christie_Chris,Cruz_Ted,Fiorina_Carly,Huckabee_Mike,Kasich_John,Rubio_Marco,Santorum_Rick,Trump_Donald
Adams,877,28,638,24,76,10,843,5,21,1726,78,5,2594
Allen,3670,87,2730,63,210,33,3710,22,50,8719,433,11,7193
Ashland,1451,42,1465,51,151,22,2012,19,44,5139,279,8,3793
Ashtabula,5320,111,4256,44,150,31,1833,25,57,5250,310,20,6127
Athens,3533,56,5663,30,59,14,736,5,25,2497,190,7,2621
Auglaize,1031,38,952,24,71,11,1767,14,31,4998,204,7,4284
Belmont,3982,254,3263,32,82,5,1959,11,24,2995,347,4,5313
Brown,1562,49,1067,47,93,8,1430,12,37,2859,171,8,4564
Butler,12874,137,11102,207,508,74,9988,95,286,28606,1676,52,27211
Carroll,1084,51,976,17,40,7,833,4,13,1972,88,8,2702
Champaign,1226,35,1099,31,72,10,1235,8,34,3593,147,9,3370
Clark,7107,101,4905,80,216,30,2811,24,88,10661,503,15,9953
Clermont,5642,69,5710,107,241,36,6672,49,73,17153,980,17,17186
Clinton,909,22,942,35,102,14,1226,12,45,3491,229,8,3974
Columbiana,4106,122,3573,46,181,25,2265,22,56,7094,377,16,8823
Coshocton,1358,48,1128,25,64,7,874,8,16,2621,148,8,2747
Crawford,1344,30,1141,28,78,8,1713,9,32,3308,166,4,3060
Cuyahoga,125914,935,72297,295,655,138,12254,138,185,76674,4597,88,45884
Darke,1246,56,999,38,109,16,1770,21,54,5042,248,18,5437
Defiance,1507,36,1435,40,78,21,1402,12,30,3956,256,8,2595
Delaware,9552,62,6891,77,173,36,6199,29,51,32885,877,24,11146
Erie,5449,108,4299,49,144,16,1600,22,53,5588,383,13,4902
Fairfield,6408,110,5074,58,163,24,5380,23,51,15478,678,14,9838
Fayette,760,10,538,13,47,7,596,4,23,2395,90,6,1902
Franklin,84654,463,67855,225,573,114,18413,99,165,101217,2740,59,35224
Fulton,1480,30,1528,34,80,12,1680,7,28,4578,205,9,2944
Gallia,945,70,966,39,90,13,910,1,34,2087,161,4,2900
Geauga,4171,36,3516,74,184,29,2690,54,56,12034,616,16,8101
Greene,6672,84,6759,69,229,34,4965,26,72,17070,816,21,13137
Guernsey,1440,51,1228,23,53,7,949,7,22,2661,164,4,3029
Hamilton,57687,327,38956,410,919,212,15122,199,267,67510,3121,90,40951
Hancock,2062,43,2490,52,176,23,3037,9,41,8496,439,13,5744
Hardin,771,25,669,20,53,6,917,15,24,2265,107,4,1953
Harrison,818,47,674,9,29,6,405,2,12,801,66,1,1424
Henry,977,24,952,37,83,11,948,5,20,3499,156,5,1981
Highland,1119,35,873,35,77,8,1101,5,26,2619,176,5,3831
Hocking,1204,40,1060,13,38,6,894,2,13,1782,91,2,2007
Holmes,561,31,558,16,94,4,1245,4,30,2347,120,3,1845
Huron,2036,57,1907,40,92,11,1464,13,35,4019,227,9,3789
Jackson,1010,28,694,27,82,20,673,4,32,1963,164,4,3018
Jefferson,4328,238,3353,33,96,19,1483,16,34,3273,291,19,5942
Knox,1902,36,1987,40,107,18,2972,11,40,5523,248,9,4100
Lake,12506,175,10351,85,225,34,4421,36,62,20556,1074,31,17306
Lawrence,2654,141,1994,90,146,28,1921,16,70,3692,457,8,5764
Licking,6785,98,5849,60,178,32,5476,29,59,17357,570,9,10932
Logan,1012,32,998,46,97,15,1914,10,44,3931,262,8,4064
Lorain,21144,392,16154,97,230,39,4956,40,73,21544,1071,27,16286
Lucas,32137,198,24111,109,274,56,7821,52,70,24633,1216,44,17403
Madison,1225,7,923,22,54,10,1311,6,24,3935,143,4,2566
Mahoning,21000,325,14066,72,269,61,2725,37,74,12669,794,24,17139
Marion,2585,53,1909,35,70,10,1976,6,32,4494,201,4,4091
Medina,7913,88,6888,73,190,22,4571,29,72,18572,849,13,13552
Meigs,800,46,757,42,90,13,650,8,28,1647,149,5,2378
Mercer,1037,40,860,31,87,20,2008,5,28,4488,217,10,3530
Miami,3155,68,2706,89,223,39,3664,43,98,11050,588,12,10848
Monroe,1191,148,1138,7,25,4,370,2,16,489,85,2,1037
Montgomery,33352,254,22538,145,501,82,10390,71,184,39682,1701,44,35239
Morgan,566,12,430,28,45,19,481,4,22,1236,110,1,1374
Morrow,1164,36,1035,31,73,9,2078,8,27,3440,139,6,2969
Muskingum,3066,52,2299,57,133,18,1836,14,42,6599,362,11,6112
Noble,522,43,404,22,28,7,349,3,15,846,65,4,1183
Ottawa,2566,53,2012,20,57,25,1079,6,20,3287,189,8,2968
Paulding,723,32,540,22,45,5,872,9,17,1657,141,5,1313
Perry,1465,47,1070,16,30,8,933,6,19,2158,120,5,2539
Pickaway,2097,44,1631,19,49,10,1985,6,19,4885,194,3,3515
Pike,1336,68,949,14,42,8,558,4,22,1205,107,3,1711
Portage,8665,155,8877,53,152,30,2699,23,62,10921,544,17,10795
Preble,1176,30,1046,34,81,18,1563,9,37,3419,194,7,5019
Putnam,811,43,936,48,100,18,2246,9,22,5024,288,15,2778
Richland,5225,116,4080,65,248,30,5742,18,64,8994,516,13,8829
Ross,3582,84,2595,45,112,17,1927,13,36,4918,319,7,4743
Sandusky,2866,50,2456,61,130,20,1941,27,46,5064,332,15,4159
Scioto,3499,112,2903,37,123,14,1440,10,42,3653,369,8,5729
Seneca,2081,48,2064,49,114,18,1529,21,37,4709,266,23,3570
Shelby,1284,60,1110,39,97,13,1864,8,28,4693,282,6,4556
Stark,21515,338,16235,164,607,75,7293,60,190,33297,1462,46,26047
Summit,38874,326,29451,190,531,114,7808,117,205,39458,1777,45,27805
Trumbull,17903,557,14726,70,207,45,2711,35,66,9792,659,32,15125
Tuscarawas,4479,185,4019,42,167,22,2276,9,52,5598,403,13,6025
Union,1580,27,1501,25,66,6,2195,9,13,6835,231,3,3652
Van Wert,710,36,621,55,115,13,1429,9,43,2688,283,6,2426
Vinton,515,29,496,7,30,9,348,4,7,623,61,0,1023
Warren,6970,56,6054,159,444,83,7965,70,172,22870,1369,26,20244
Washington,2557,98,2411,56,146,18,1997,14,61,5023,353,14,5048
Wayne,3448,52,3225,71,185,31,3587,21,63,10533,390,20,6496
Williams,1007,35,1156,44,137,23,1314,19,62,3943,236,8,2806
Wood,6108,75,7165,74,190,31,3718,27,49,10968,638,16,6911
Wyandot,661,22,647,20,37,4,781,6,15,1896,108,2,1720
