County,Steinberg_Michael,Sanders_Bernie,Judd_Keith,Clinton_Hillary,De La Fuente_Rocky,O'Malley_Martin,Locke_Star,Trump_Donald,Paul_Rand,Fiorina_Carly,Rubio_Marco,Santorum_Rick,Cruz_Ted,Bush_Jeb,Christie_Chris,Huckabee_Mike,Carson_Ben,Graham_Lindsey,Kasich_John
Adair,36,973,56,583,17,52,26,493,4,1,385,1,516,6,4,10,112,1,22
Alfalfa,13,191,5,92,3,16,9,337,5,2,274,0,421,8,4,9,67,0,18
Atoka,37,724,52,373,32,58,32,278,1,0,104,0,269,2,1,9,62,0,18
Beaver,9,94,5,52,5,13,2,285,6,1,153,0,557,8,4,13,109,2,23
Beckham,39,827,45,464,21,70,24,666,7,3,410,0,901,8,1,5,127,0,57
Blaine,18,435,12,313,8,34,20,452,8,4,302,4,533,13,1,3,98,1,29
Bryan,101,1917,80,1050,30,122,69,880,14,3,331,3,1243,6,2,15,256,3,69
Caddo,72,1548,66,1060,41,91,37,585,3,1,360,0,847,13,1,11,145,1,41
Canadian,82,4924,114,3357,52,156,61,6202,79,36,5818,10,8114,97,26,46,1379,9,609
Carter,114,2113,97,1240,49,156,71,1337,27,5,722,3,1482,21,5,16,396,3,146
Cherokee,70,2900,70,2023,33,88,48,921,18,4,882,0,1067,11,5,26,309,1,95
Choctaw,35,745,45,384,20,65,28,307,4,0,78,0,234,2,0,4,58,0,24
Cimarron,9,68,7,22,3,10,7,124,8,0,67,1,204,2,0,0,65,0,12
Cleveland,182,16441,171,10439,93,284,124,9398,173,46,10106,26,12335,152,46,68,2039,18,1466
Coal,18,456,27,137,11,42,27,102,2,4,36,0,87,3,2,0,18,0,4
Comanche,118,3805,92,3523,62,163,87,2378,31,8,1418,7,3423,50,11,28,519,5,317
Cotton,23,388,14,204,15,31,13,144,4,0,76,1,317,0,2,4,45,0,12
Craig,34,926,34,609,10,61,26,419,1,0,230,0,415,2,0,4,99,0,36
Creek,67,2791,74,2303,44,145,57,3328,37,11,2135,3,3815,37,13,30,634,6,248
Custer,29,1275,61,751,23,71,23,777,13,2,871,5,1492,19,2,6,246,1,78
Delaware,55,1776,72,1448,34,88,43,1727,5,5,1071,4,1367,19,3,30,312,3,129
Dewey,9,270,17,134,11,35,11,259,1,0,125,0,363,4,2,5,89,0,6
Ellis,6,193,5,70,3,15,9,244,1,1,184,0,350,6,3,6,58,0,27
Garfield,46,1771,34,1403,26,76,37,2742,23,14,2545,7,2798,73,14,38,547,3,304
Garvin,65,1506,96,910,48,107,50,900,9,2,422,1,1031,17,2,14,180,0,44
Grady,88,2679,92,1629,57,152,67,2275,27,7,1659,9,3020,36,8,18,443,1,160
Grant,12,224,6,125,4,14,7,333,4,1,235,2,316,4,1,4,65,0,29
Greer,24,333,16,164,17,25,17,111,5,0,57,0,91,0,0,0,21,0,8
Harmon,6,167,3,122,3,21,6,46,0,0,48,0,59,3,0,3,18,0,3
