County,Clinton_Hillary,Sanders_Bernie,Cruz_Ted,Kasich_John,Trump_Donald,,,,,,,
Baker,494,748,686,471,2346,,,,,,,
Benton,7465,11922,1447,1777,4234,,,,,,,
Clackamas,28114,31188,7282,7770,26380,,,,,,,
Clatsop,2714,3547,463,621,2506,,,,,,,
Columbia,3089,4323,1002,651,3472,,,,,,,
Coos,3487,4505,878,746,6017,,,,,,,
Crook,844,1031,687,454,3071,,,,,,,
Curry,1439,1594,501,343,2956,,,,,,,
Deschutes,11160,13157,3193,3757,14745,,,,,,,
Douglas,4532,5793,2378,1542,12389,,,,,,,
Gilliam,101,100,43,46,227,,,,,,,
Grant,215,386,258,154,1457,,,,,,,
Harney,236,352,224,187,1335,,,,,,,
Hood River,1652,2587,327,478,1174,,,,,,,
Jackson,13035,17175,3381,3280,19517,,,,,,,
Jefferson,807,903,377,345,1817,,,,,,,
Josephine,4030,5363,2041,1347,10454,,,,,,,
Klamath,2292,2862,1942,1011,8497,,,,,,,
Lake,199,295,260,173,1332,,,,,,,
Lane,28221,44846,5374,5399,22784,,,,,,,
Lincoln,4057,4757,660,790,3334,,,,,,,
Linn,5036,7175,2817,1766,9368,,,,,,,
Malheur,572,619,578,291,2563,,,,,,,
Marion,15418,19196,6946,4927,19165,,,,,,,
Morrow,294,337,265,157,870,,,,,,,
Multnomah,76106,110689,5575,8115,19316,,,,,,,
Polk,4585,5667,2226,1551,5752,,,,,,,
Sherman,67,82,59,45,279,,,,,,,
Tillamook,1911,2241,468,437,2140,,,,,,,
Umatilla,2022,2329,1262,882,5127,,,,,,,
Union,965,1415,876,513,3037,,,,,,,
Wallowa,331,499,273,153,1247,,,,,,,
Wasco,1281,1837,423,396,1732,,,,,,,
Washington,37636,44573,7736,9746,24916,,,,,,,
Wheeler,48,86,52,24,204,,,,,,,
Yamhill,5391,6650,2553,1903,6988,,,,,,,
