County,Sanders_Bernie,Clinton_Hillary,De La Fuente_Rocky,Trump_Donald,Bush_Jeb,Kasich_John,Rubio_Marco,Cruz_Ted
Adams,4101,3863,71,9773,121,2705,112,4076
Allegheny,95891,118799,1750,59855,409,31913,701,23207
Armstrong,3073,2992,130,7718,46,1363,70,2205
Beaver,9873,13531,369,11499,97,3747,118,4490
Bedford,1382,1387,62,6540,72,957,65,2545
Berks,21518,20470,415,28719,272,7919,373,10343
Blair,4360,3965,135,13178,146,2652,184,5243
Bradford,1839,1809,53,6665,79,1575,91,2415
Bucks,36111,46876,837,51433,599,20217,802,17122
Butler,7833,8790,249,20054,173,6922,213,7813
Cambria,9024,8507,509,10988,90,2077,112,3508
Cameron,228,176,18,486,6,127,11,181
Carbon,3460,3384,101,6032,42,709,37,1433
Centre,10331,8458,123,10027,170,4569,193,5215
Chester,26046,32985,204,35577,484,23855,615,14996
Clarion,1511,1529,59,4230,57,1026,44,1460
Clearfield,3414,3194,145,8017,73,1423,74,2310
Clinton,1739,1704,61,3236,31,550,23,1055
Columbia,3601,2504,81,6071,48,1064,54,1714
Crawford,3683,3559,117,7471,93,2204,120,3470
Cumberland,11513,12421,168,22977,306,9031,372,12200
Dauphin,13787,18474,250,21310,263,7320,357,10200
Delaware,29903,44909,360,42459,856,23025,1084,13098
Elk,1846,1601,72,2688,22,577,33,667
Erie,18362,20395,338,16495,223,6507,264,7856
Fayette,6451,9184,285,8524,36,1319,41,2215
Forest,221,251,10,597,12,138,6,180
Franklin,4273,4700,118,15631,205,3660,185,6937
Fulton,365,366,18,1779,18,242,15,660
Greene,1927,2268,121,2532,18,430,20,845
Huntingdon,1664,1302,43,5230,72,981,57,1880
Indiana,3654,3915,156,7585,71,1751,75,2481
Jefferson,1503,1247,90,5217,52,1044,53,1501
Juniata,754,664,38,2394,46,553,22,1163
Lackawanna,17308,23020,402,14430,100,2606,111,3368
Lancaster,21202,19780,196,38171,564,18711,575,27388
Lawrence,3981,5845,142,6969,52,1801,73,2636
Lebanon,4599,4669,93,13694,135,3806,151,6789
Lehigh,17841,19861,216,20905,175,7067,253,8820
Luzerne,18524,20530,462,28660,98,3356,131,4621
Lycoming,4730,3808,128,12917,99,2217,125,5349
McKean,1190,1053,37,3901,37,960,48,1151
Mercer,4739,6530,190,8454,94,3429,99,3085
Mifflin,1242,1201,44,4310,43,1041,47,1788
Monroe,6795,7901,121,10016,71,1701,110,2433
Montgomery,51913,75333,423,51444,643,31228,1014,21395
Montour,890,846,32,1745,15,512,24,617
Northampton,16925,18075,327,19659,129,5006,212,7007
Northumberland,3547,3436,108,8087,75,1403,79,2793
Perry,1707,1286,39,5424,75,1058,51,2710
Philadelphia,127284,215504,1480,25419,372,9422,652,8086
Pike,1894,2009,19,5203,22,779,32,955
Potter,560,402,20,2369,28,399,25,709
Schuylkill,6040,6534,164,16801,111,2342,120,3085
Snyder,1081,1125,26,3745,47,996,35,2034
Somerset,3205,3112,143,9062,105,1540,87,3158
Sullivan,296,312,14,842,9,183,12,247
Susquehanna,1610,1680,42,5036,47,1042,48,2067
Tioga,1316,1025,33,4638,63,1100,65,1619
Union,1519,1548,14,3349,40,976,37,1889
Venango,2087,2020,94,4934,70,1334,39,2389
Warren,1665,1836,53,3771,60,1088,57,1716
Washington,11262,15872,505,16242,89,4670,132,5444
Wayne,2026,1859,34,6395,40,959,42,1867
Westmoreland,20233,24968,752,32145,148,8477,250,10471
Wyoming,1209,1156,33,3634,33,633,38,1110
York,17533,18445,397,41948,420,10390,449,17106
