County,Clinton_Hillary,O'Malley_Martin,Sanders_Bernie,Wilson_Willie,Bush_Jeb,Carson_Ben,Cruz_Ted,Kasich_John,Rubio_Marco,Trump_Donald
Abbeville,1508,6,312,15,236,308,878,158,741,1358
Aiken,6889,19,2877,32,1238,2644,7142,1957,6895,9163
Allendale,1022,3,95,5,21,32,44,12,92,160
Anderson,5576,19,2712,42,2412,2969,8778,2047,7198,10983
Bamberg,1710,2,197,8,58,78,193,57,333,481
Barnwell,1561,5,209,10,129,171,516,91,575,1107
Beaufort,9970,24,3575,32,2198,1100,4419,6263,9165,9960
Berkeley,9485,25,3592,79,2664,1642,6252,1555,6178,9410
Calhoun,1536,4,241,4,250,139,564,110,421,805
Charleston,26625,81,13507,147,6160,2485,9082,7318,15295,14461
Cherokee,1877,7,514,10,382,879,1979,309,1451,3617
Chester,1962,7,492,3,126,284,844,119,553,1403
Chesterfield,2209,5,446,8,181,249,1436,145,698,1824
Clarendon,3571,3,337,19,359,268,1049,245,797,1622
Colleton,2939,12,584,25,505,281,1104,223,936,2326
Darlington,4990,6,1081,19,693,525,2594,328,1387,3352
Dillon,1659,9,302,5,169,112,912,65,445,972
Dorchester,6934,23,2885,34,1952,1315,5216,1422,5253,6967
Edgefield,1474,4,301,23,116,328,1148,151,900,1366
Fairfield,3265,10,440,18,205,145,632,164,497,920
Florence,9433,17,2594,50,1463,1273,5218,824,3369,6023
Georgetown,4941,10,1350,48,960,611,1594,1024,2695,4627
Greenville,19966,50,11118,88,6568,8080,23026,7719,23037,25044
Greenwood,3623,11,987,56,873,993,2425,700,2556,3047
Hampton,1933,8,241,15,83,92,365,88,314,721
Horry,11316,37,5457,17,3189,2662,8579,3462,9699,26684
Jasper,2195,11,355,19,119,157,568,275,695,1169
Kershaw,3761,11,1093,13,1152,617,2779,581,1906,3681
Lancaster,3346,13,1221,6,563,1136,2698,1048,2766,4207
Laurens,2978,5,801,8,767,793,2750,439,1584,3327
Lee,2209,7,288,16,152,65,353,58,196,744
Lexington,8847,26,5611,35,5307,4854,13190,3451,11440,16392
Marion,3361,10,553,13,215,141,741,100,436,1212
Marlboro,2137,8,253,4,164,128,410,57,254,741
McCormick,973,5,162,4,76,106,372,180,468,616
Newberry,2121,9,471,20,621,523,1267,343,1156,2046
Oconee,1960,12,1304,12,1391,1126,3165,1478,4004,4427
Orangeburg,11872,15,1473,34,781,405,1310,354,1311,2553
Pickens,2503,8,1995,10,2035,1715,6404,1448,4963,7149
Richland,39332,60,12354,178,4493,2641,7983,4063,10992,9205
Saluda,1023,1,192,6,382,295,797,156,553,1248
Spartanburg,10674,22,4467,27,2746,4041,11494,2461,10711,15293
Sumter,9830,38,1443,39,1353,818,2477,532,2236,3764
Union,1690,2,332,3,269,189,885,114,752,1403
Williamsburg,"4,613",10,557,31,230,152,575,76,521,1187
York,8980,33,5127,24,2050,3984,9210,2640,8141,12115
