County,Sanders_Bernie,Clinton_Hillary,Kasich_John,Cruz_Ted,Trump_Donald
Aurora,132,150,27,50,136
Beadle,373,501,108,140,454
Bennett,95,74,29,30,179
Bon Homme,197,225,71,94,343
Brookings,901,955,375,319,915
Brown ,1138,1369,371,397,1407
Brule,219,182,58,61,245
Buffalo,71,110,5,6,37
Butte,285,167,191,246,1074
Campbell,26,20,43,52,355
Charles Mix,277,293,58,113,404
Clark,86,112,53,50,179
Clay,609,623,143,102,320
Codington,645,828,381,336,1473
Corson,148,115,15,37,126
Custer,276,245,195,226,1068
Davison,440,542,214,163,808
Day,203,343,46,48,249
Deuel,111,162,60,59,141
Dewey,342,181,22,32,178
Douglas,37,48,68,82,262
Edmunds,155,170,58,75,426
Fall River,304,207,168,211,923
Faulk,78,86,26,53,216
Grant,419,528,211,188,850
Gregory,164,179,41,60,341
Haakon,53,23,39,58,397
Hamlin,125,181,119,196,489
Hand,98,105,77,93,385
Hanson,83,97,43,63,305
Harding,40,14,31,56,298
Hughes ,489,528,601,355,1606
Hutchinson,125,151,150,194,622
Hyde ,26,40,15,21,96
Jackson,69,59,32,26,153
Jerauld,65,96,30,31,90
Jones,31,20,28,33,175
Kingsbury,164,201,117,100,421
Lake,456,484,171,156,619
Lawrence,941,705,453,372,1801
Lincoln,1152,1436,523,587,1760
Lyman,115,115,75,73,432
Marshall,169,287,60,42,163
McCook,132,214,80,101,320
McPherson,46,47,75,90,340
Meade,696,530,426,498,2205
Mellette,76,50,12,8,87
Miner,84,109,26,29,98
Minnehaha,5290,6018,1598,1701,5206
Moody,207,262,52,72,196
Oglala Lakota,574,426,17,11,48
Pennington,3996,3384,1800,1929,8162
Perkins,93,43,62,108,441
Potter,54,59,69,108,579
Roberts,397,392,53,61,286
Sanborn,45,66,16,28,122
Spink,201,283,63,82,302
Stanley,102,95,83,45,352
Sully ,51,37,23,43,133
Todd,524,408,26,54,90
Tripp,147,136,55,74,452
Turner,178,232,76,110,384
Union,306,380,140,161,644
Walworth,116,121,112,142,774
Yankton ,580,706,184,186,646
Ziebach,132,92,11,25,79
