County,Trump_Donald,Cruz_Ted,Rubio_Marco,Carson_Ben,Kasich_John,Bush_Jeb,Huckabee_Mike,Paul_Rand,Fiorina_Carly,Christie_Chris,Santorum_Rick,Pataki_George,Graham_Lindsey,Gilmore_Jim,Clinton_Hillary,Sanders_Bernie,O'Malley_Martin
Anderson,4298,2450,2340,862,563,122,30,24,15,12,10,5,4,2,2328,1845,51
Bedford,3081,1654,821,475,200,39,13,8,3,5,4,0,2,5,1208,523,18
Benton,1154,569,278,123,73,15,4,2,0,1,0,0,1,1,560,287,12
Bledsoe,1009,487,285,166,56,18,10,4,1,3,4,0,2,1,398,215,16
Blount,8009,4721,5067,1729,1170,284,61,48,22,26,18,8,4,12,2736,2362,24
Bradley,6103,3625,4066,1719,790,192,73,28,20,12,11,2,7,5,1644,1302,13
Campbell,2198,831,705,289,146,35,7,4,3,6,3,0,1,0,656,302,12
Cannon,1244,657,195,159,50,17,4,2,3,8,2,0,0,0,439,218,10
Carroll,1579,967,573,313,146,36,14,4,0,3,3,0,2,2,721,307,15
Carter,4266,2352,1757,699,314,104,45,14,7,18,7,2,7,5,774,828,8
Cheatham,2530,1624,848,419,211,40,9,11,2,2,5,2,2,2,1065,801,13
Chester,1023,651,379,319,63,28,9,2,0,2,2,1,0,4,342,143,2
Clairborne,2022,802,540,200,118,29,15,8,5,6,1,0,2,4,544,312,111
Clay,600,180,146,66,37,7,0,6,0,3,1,0,0,2,270,103,2
Cocke,3200,1296,765,356,207,87,49,15,9,11,7,0,3,1,459,361,6
Coffee,3516,2194,1307,702,391,78,13,18,7,10,5,1,1,1,1503,831,26
Crockett,995,538,275,189,54,26,6,5,1,4,0,0,1,0,424,103,2
Cumberland,5152,3064,1972,791,667,152,39,22,9,22,9,5,1,5,1312,888,33
Davidson,17082,12115,16161,3627,4865,806,83,170,50,52,34,6,7,9,43691,22620,199
Decatur,842,367,199,110,46,13,5,2,1,4,2,0,0,0,330,131,10
DeKalb,1240,600,344,175,88,10,9,10,3,3,3,1,3,2,641,286,12
Dickson,2730,1764,924,520,198,53,11,8,4,6,2,1,3,3,1497,696,16
Dyer,2400,1268,812,361,136,45,22,6,7,3,1,0,1,1,822,304,10
Fayette,2879,2520,1121,430,210,42,26,15,2,4,1,2,5,3,2003,362,8
Fentress,1418,900,324,147,73,22,18,1,3,4,1,0,0,1,352,191,6
Franklin,3072,1448,948,556,261,53,19,8,3,7,4,3,3,2,1590,809,23
Gibson,2878,1911,1014,762,218,45,16,12,1,16,5,2,4,3,1549,427,13
Giles,1910,899,527,273,95,31,17,6,3,4,2,0,1,1,915,315,4
Grainger,1767,794,557,171,111,53,13,7,7,7,4,2,0,2,283,164,4
Greene,5016,2569,1845,860,442,162,47,34,10,26,13,2,3,4,1079,892,22
Grundy,912,382,133,141,30,16,7,2,0,3,2,0,1,2,445,204,12
Hamblen,4690,2231,1954,827,492,161,68,29,9,20,5,10,7,11,951,682,19
Hamilton,16985,9625,14391,5075,3641,566,97,596,33,165,210,13,14,4,15598,8411,60
Hancock,433,208,150,40,32,14,1,2,0,1,0,0,0,1,80,66,0
Hardeman,1170,571,315,216,58,19,11,1,3,2,3,1,1,0,1721,225,11
Hardin,2094,629,597,283,161,43,16,1,3,2,4,0,0,0,591,229,7
Hawkins,4426,2056,1460,572,361,133,77,18,12,11,6,0,2,2,906,587,19
Haywood,613,475,224,106,55,17,6,2,0,4,0,3,0,0,1197,143,4
Henderson,1836,965,571,363,141,49,15,6,5,3,4,1,2,3,443,191,0
Henry,2672,1222,751,370,258,70,27,13,10,19,1,4,1,3,957,434,7
Hickman,1325,836,331,210,69,23,9,3,2,4,3,0,3,0,543,323,13
Houston,523,231,159,67,26,6,0,1,3,2,1,1,0,0,320,141,10
Humphreys,1218,533,328,173,62,25,3,3,3,1,3,0,1,3,737,332,5
Jackson,713,450,192,92,54,8,6,2,0,5,0,0,0,0,407,196,7
Jefferson,4050,2005,1579,664,408,161,40,22,18,13,8,0,3,11,735,592,14
Johnson,1306,740,452,169,102,29,13,5,2,6,3,3,0,3,245,223,7
Knox,20985,13571,18319,4772,5035,1137,180,212,88,130,49,30,36,25,13137,12334,99
Lake,326,125,72,45,7,1,1,0,1,0,1,1,0,0,186,47,2
Lauderdale,1111,638,304,161,64,21,12,3,1,9,0,1,0,0,1035,194,8
Lawrence,2883,1567,689,395,146,39,35,10,0,9,6,3,1,1,1332,893,59
Lewis,809,429,176,125,27,12,2,5,3,4,0,0,1,0,232,228,5
Lincoln,2656,1262,850,489,160,45,4,9,5,6,5,0,1,1,728,328,9
Loudon,4198,2197,2309,672,780,141,42,22,17,17,9,1,2,6,1026,638,18
Macon,1757,743,283,185,46,35,12,7,2,3,1,2,0,1,343,169,8
Madison,4117,3555,2513,1095,511,122,27,22,7,18,8,3,4,4,4351,999,24
Marion,1799,690,586,271,141,31,11,8,6,8,4,0,0,5,1046,559,28
Marshall,1858,992,503,296,125,14,10,11,2,1,0,1,3,1,838,384,9
Maury,4655,3514,2043,945,415,86,16,18,11,5,8,1,2,0,2366,1305,21
McMinn,3604,2000,1551,743,389,134,33,19,11,15,9,0,5,4,1027,619,18
McNairy,1822,782,581,385,109,25,28,11,2,6,1,0,0,2,719,229,10
Meigs,946,334,289,122,81,15,14,6,1,6,1,1,2,0,354,162,7
Monroe,4079,1796,1333,619,316,208,60,31,7,24,5,3,5,7,1232,596,40
Montgomery,6512,4242,3619,1336,944,335,57,67,26,41,13,5,15,6,5555,2833,58
Moore,687,403,157,149,53,8,1,3,0,0,0,0,2,0,209,93,7
Morgan,1230,692,342,176,64,25,2,6,1,4,1,2,0,2,356,225,8
Obion,1908,1437,607,341,129,26,11,7,4,3,7,0,0,0,760,345,20
Overton,1582,929,455,225,86,22,11,10,3,8,3,0,1,2,885,477,33
Perry,542,216,130,51,30,7,1,3,2,1,0,0,0,0,215,108,5
Picket,594,277,143,90,47,24,4,1,0,0,0,0,0,0,214,64,2
Polk,1180,492,311,157,72,8,10,1,3,0,2,0,0,0,757,557,47
Putnam,4187,2938,1899,999,464,70,31,15,5,11,5,3,3,1,1916,1692,27
Rhea,2339,1127,1020,448,197,90,28,12,5,10,6,1,1,2,503,331,15
Roane,3634,2044,1629,660,413,101,22,11,6,13,6,1,1,3,1454,916,26
Roberton,4077,3013,1566,820,278,70,12,12,4,12,3,3,1,3,1918,827,24
Rutherford,13229,10980,7376,3071,1502,371,78,107,26,38,10,4,8,4,8243,6016,64
Scott,1090,509,405,134,76,17,11,4,3,1,2,0,1,1,273,180,8
Sequatchie,1046,437,361,199,66,12,8,4,1,5,1,0,1,0,273,206,4
Sevier,7686,3471,3170,1099,634,174,46,30,10,23,13,4,4,3,1260,1241,18
Shelby,20715,19727,18248,4092,5187,651,138,135,44,79,37,12,18,20,66465,15985,217
Smith,1418,866,316,233,64,23,13,5,1,3,2,1,1,1,654,253,8
Stewart,953,443,301,130,63,15,3,3,0,3,2,0,1,1,527,244,14
Sullivan,8839,6149,4583,1738,1176,263,53,52,18,34,17,1,8,6,2726,2180,40
Sumner,9708,7583,5161,2286,1175,202,58,53,12,23,8,5,4,5,4225,2262,33
Tipton,3618,2693,1238,534,224,42,26,12,4,14,1,1,2,2,1454,574,8
Trousdale,453,281,91,63,23,4,2,1,1,2,0,0,2,0,321,113,4
Unicoi,1813,676,614,238,128,52,21,8,7,5,3,1,1,3,244,272,9
Union,1311,535,337,147,55,10,11,8,1,5,2,1,0,3,316,196,8
Van Buren,493,225,90,69,13,4,0,0,0,0,0,0,0,2,242,96,9
Warren,2273,1184,792,354,142,45,10,7,4,8,2,1,0,0,1318,671,30
Washington,6953,4771,4434,1506,1059,199,62,42,11,26,12,2,5,10,2444,2833,26
Wayne,1159,530,261,158,50,23,6,3,0,2,1,0,0,0,208,113,4
Weakley,1764,1210,694,383,143,37,18,10,1,9,2,2,1,1,860,452,7
White,2092,1041,497,307,95,25,13,9,2,3,3,2,0,2,688,401,14
Williamson,11384,10517,13069,2758,3285,363,41,68,34,35,13,8,5,1,6055,3911,27
Wilson,8570,6425,4060,1648,1020,180,40,36,10,21,12,1,4,2,3873,2102,36
