County,Bush_Jeb,Carson_Ben,Christie_Chris,Cruz_Ted,Fiorina_Carly,Graham_Lindsey,Gray_Elizabeth,Huckabee_Mike,Kasich_John,Paul_Rand,Rubio_Marco,Santorum_Rick,Trump_Donald,Clinton_Hillary,De La Fuente_Rocky,Hawes_Calvis,Judd_Keith,Locke_Star,O'Malley_Martin,Sanders_Bernie,Wilson_Willie
Anderson,67,376,3,"4,550",5,3,2,17,148,9,805,3,"2,437",996,1,1,4,2,5,299,9
Andrews,67,201,3,"1,349",1,0,2,21,39,17,402,1,716,76,1,0,0,0,0,38,0
Angelina,137,593,164,"6,876",3,3,7,37,348,28,"1,613",4,"3,646","1,950",12,3,9,5,19,622,26
Aransas,118,167,6,"1,655",5,2,6,9,272,30,789,2,"2,093",488,4,2,5,0,3,272,0
Archer,30,151,3,"1,215",3,0,0,9,45,9,266,2,707,99,0,0,1,1,2,64,1
Armstrong,11,60,4,380,0,24,0,2,15,4,58,0,197,1,0,0,0,0,0,4,0
Atascosa,35,142,5,"2,342",2,5,0,2,71,5,529,2,"1,340","1,355",31,9,4,3,4,478,6
Austin,64,197,3,"3,201",4,0,1,9,160,11,647,1,"1,752",492,2,1,1,0,6,165,3
Bailey,9,63,0,496,2,0,0,3,19,0,123,1,234,84,1,0,1,1,2,29,0
Bandera,48,217,4,"2,269",13,4,0,16,150,18,618,2,"1,823",378,1,1,1,1,6,294,0
Bastrop,123,570,16,"4,207",15,0,5,31,415,49,"1,552",6,"3,590","2,896",12,3,12,4,16,"1,950",13
Baylor,15,60,0,326,0,0,0,4,18,6,96,1,234,46,1,0,2,0,1,24,1
Bee,61,99,4,"1,509",0,2,3,10,63,9,428,0,781,"1,133",35,1,4,0,4,320,12
Bell,602,"1,681",53,"14,029",52,11,7,103,"1,223",114,"4,862",13,"8,143","7,430",17,7,17,8,42,"3,090",19
Bexar,"2,410","4,777",175,"54,151",151,65,39,174,"6,267",393,"30,696",46,"32,712","76,533",571,89,109,57,315,"36,750",100
Blanco,36,111,3,"1,379",3,3,1,10,99,12,411,0,886,284,1,0,0,0,0,232,0
Borden,2,14,0,164,0,0,0,3,3,0,30,0,91,4,0,0,0,0,0,1,0
Bosque,52,177,9,"2,132",5,1,1,16,104,7,388,3,"1,269",353,0,0,4,1,5,199,2
Bowie,171,940,14,"7,062",16,8,8,208,482,32,"2,091",12,"5,041","2,437",2,2,10,7,17,687,16
Brazoria,352,"1,350",34,"20,015",47,34,6,72,"1,141",199,"5,589",20,"10,018","9,009",42,14,18,7,53,"3,721",78
Brazos,418,"1,462",36,"12,064",43,16,13,64,"1,718",112,"4,778",10,"4,631","3,561",22,5,8,11,52,"3,589",9
Brewster,18,63,2,473,2,1,23,2,34,12,208,1,370,701,47,4,11,15,24,771,31
Briscoe,4,18,0,244,0,1,1,11,20,2,35,0,110,16,0,0,0,0,0,11,1
Brooks,0,4,0,31,0,0,0,0,2,0,3,0,18,"1,603",119,9,11,15,24,362,13
Brown,121,489,19,"4,197",6,5,2,57,212,35,924,6,"2,459",319,3,0,2,0,4,212,5
Burleson,33,134,4,"1,711",0,3,1,10,73,6,259,0,988,469,4,0,0,0,7,149,5
Burnet,141,521,16,"4,032",22,5,15,26,420,39,"1,583",2,"3,151",878,3,3,0,2,6,580,5
Caldwell,69,185,10,"1,767",5,1,0,10,107,25,611,2,"1,156","1,543",13,1,6,2,19,742,9
Calhoun,28,98,1,"1,197",3,2,1,5,57,5,318,2,863,709,16,5,7,5,8,305,10
Callahan,55,143,3,"1,692",2,1,1,16,79,4,290,3,"1,036",87,1,1,2,1,1,104,0
Cameron,235,479,14,"4,451",21,9,14,21,349,28,"2,634",6,"4,286","20,332",648,94,76,60,178,"8,320",99
Camp,25,99,3,818,1,0,0,7,44,4,254,0,608,484,3,3,3,2,2,134,1
Carson,18,123,1,854,1,1,0,7,24,2,127,1,370,50,0,0,0,0,0,30,0
Cass,46,265,3,"2,753",5,1,0,22,138,14,503,5,"1,604",778,3,3,8,2,4,265,2
Castro,20,82,2,496,4,0,0,2,23,0,115,0,270,127,5,0,0,0,0,40,0
Chambers,45,228,7,"3,770",46,2,0,12,181,17,614,0,"2,037",688,5,3,3,7,6,295,7
Cherokee,97,406,8,"4,562",5,1,3,14,207,13,769,1,"2,357",990,1,5,6,1,5,324,3
Childress,7,59,0,444,0,34,0,4,17,3,122,0,285,54,1,0,2,0,1,34,0
Clay,29,174,5,"1,428",2,0,2,7,72,7,302,4,844,120,0,0,0,0,4,65,3
Cochran,30,39,1,353,1,1,3,8,15,3,122,1,153,4,0,1,0,0,0,3,0
Coke,15,50,0,405,2,2,2,3,23,0,85,3,251,25,0,0,0,1,1,25,0
Coleman,30,125,1,"1,134",3,2,2,12,35,5,222,0,724,75,0,0,0,0,1,49,0
Collin,"1,038","4,024",122,"46,199",128,47,36,115,"6,919",237,"27,142",62,"29,854","23,670",26,10,46,19,67,"16,171",25
