Precinct Name,Carson_Ben,Fiorina_Carly,Christie_Chris,Trump_Donald,Bush_Jeb,Gilmore_Jim,Kasich_John,Graham_Lindsey,Rubio_Marco,Huckabee_Mike,Cruz_Ted,Paul_Rand,Santorum_Rick,Sanders_Bernie,Clinton_Hillary,O'Malley_Martin,
# AB - Central Absentee Precinct,2,1,0,25,0,0,2,0,26,1,16,0,0,43,90,3,
## Provisional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
101 - CHINCOTEAGUE,63,0,1,328,1,1,30,0,107,1,66,1,0,109,139,2,
201 - ATLANTIC,29,1,0,139,0,0,9,0,43,0,44,1,0,21,44,1,
202 - GREENBACKVILLE,35,1,0,192,0,0,15,1,67,1,64,2,0,48,90,0,
301 - OAK HALL,29,0,0,146,0,0,5,1,39,0,45,2,0,30,160,1,
401 - BLOXOM,20,0,0,85,0,0,6,0,31,2,17,0,0,12,32,0,
402 - PARKSLEY,21,0,1,125,0,2,6,0,45,0,57,1,0,14,48,0,
403 - SAXIS,10,0,0,45,0,1,2,0,10,1,15,0,0,8,14,0,
501 - MAPPSVILLE,22,0,0,61,0,0,2,0,17,0,19,0,0,17,101,2,
502 - RUE,7,0,0,24,0,0,4,0,18,0,14,1,0,28,126,0,
601 - ACCOMAC,23,0,1,169,0,0,15,0,65,1,62,0,0,55,140,1,
602 - TANGIER,21,0,0,76,0,0,2,0,41,1,16,0,0,5,6,0,
701 - ONANCOCK,43,1,0,154,0,0,35,0,138,0,62,0,0,103,181,2,
702 - ONLEY,9,0,0,78,1,0,17,0,42,1,30,2,0,28,80,0,
801 - BOBTOWN,14,0,0,87,0,0,20,0,54,0,47,0,0,37,52,0,
802 - MELFA,19,0,0,89,0,0,2,0,45,1,28,0,0,26,114,0,
803 - WACHAPREAGUE,14,0,1,106,2,0,11,0,42,0,27,1,1,23,53,0,
901 - PAINTER,30,0,0,139,0,0,27,0,77,0,56,1,0,75,320,3,
101 - WOODBROOK,38,0,1,126,1,1,109,0,221,1,118,4,0,273,324,0,
103 - BRANCHLANDS,13,1,0,43,1,0,21,1,52,1,33,1,1,104,172,4,
104 - AGNOR-HURT,17,0,0,99,0,0,35,0,117,1,58,1,1,275,289,1,
105 - DUNLORA,22,1,1,123,4,0,127,0,243,1,70,2,0,321,403,6,
106 - NORTHSIDE,32,1,1,179,6,3,91,0,235,4,135,1,0,269,305,5,
201 - JACK JOUETT,23,0,0,107,1,1,87,0,193,0,73,3,1,187,291,1,
202 - UNIVERSITY HALL,7,0,0,29,1,0,65,0,218,0,21,0,0,309,227,1,
203 - GEORGETOWN,13,0,1,72,0,0,40,0,120,0,67,1,1,306,330,2,
204 - BELFIELD,4,0,1,63,3,0,96,0,101,1,27,0,0,58,167,0,
301 - IVY,29,0,0,175,0,0,186,1,401,0,143,0,2,373,573,4,
302 - RED HILL,17,0,0,146,0,1,64,0,173,0,135,0,0,302,329,2,
304 - EAST IVY,15,0,1,48,1,0,59,0,106,0,19,1,0,85,138,0,
305 - COUNTRY GREEN,24,0,1,88,2,0,53,0,151,0,91,4,0,261,304,1,
306 - PORTERS,11,0,0,74,1,0,8,0,48,0,50,2,0,139,155,2,
307 - YELLOW MOUNTAIN,6,0,0,32,1,0,24,0,61,0,26,2,0,75,62,2,
401 - SCOTTSVILLE,17,0,0,141,0,1,24,0,82,0,63,1,0,111,132,2,
402 - MONTICELLO,12,1,2,127,0,0,16,1,47,0,53,1,0,139,105,0,
405 - CALE,34,2,0,151,2,0,102,0,282,3,107,5,0,544,583,5,
406 - STONE ROBINSON,35,0,0,246,2,0,133,0,276,1,128,3,0,184,270,1,
501 - KESWICK,13,0,0,104,0,1,19,0,102,2,52,1,1,96,162,0,
502 - STONY POINT,12,0,0,100,1,0,58,0,135,0,74,2,0,137,149,3,
503 - HOLLYMEAD,39,0,2,130,1,1,96,0,270,0,74,1,0,213,278,3,
504 - FREE BRIDGE,20,3,2,180,2,0,180,1,297,0,113,1,0,347,516,4,
