County ,Sanders_Bernie,Clinton_Hillary,Trump_Donald,Cruz_Ted,Kasich_John,Carson_Ben
Adams,17,6,929,127,67,53
Asotin,43,21,2270,241,186,138
Benton,385,107,14943,2437,1528,860
Chelan,160,63,5717,635,651,311
Clallam,188,85,6715,798,707,378
Clark,1080,297,32947,4529,4162,1523
Columbia,10,3,651,58,58,33
Cowlitz,255,76,8727,991,777,417
Douglas,63,23,3047,325,256,134
Ferry,18,5,949,83,61,70
Franklin,115,29,4277,893,349,267
Garfield,3,2,290,84,38,17
Grant,112,29,7778,901,483,452
Grays Harbor,176,65,4598,314,309,178
Island,219,97,6930,1460,1394,360
Jefferson,135,56,2462,221,410,128
King,6704,3246,64740,8861,13974,2893
Kitsap,631,238,16346,2532,2395,965
Kittitas,106,31,3337,291,273,126
Kickitat,55,11,2289,290,208,123
Lewis,166,36,8513,930,554,404
Lincoln,22,8,1471,205,115,87
Mason,159,55,5491,693,500,234
Okanogan,154,23,2828,264,174,131
Pacific,77,18,2038,184,151,77
Pend Oreille,35,10,1928,225,110,98
Pierce,1968,712,48071,6848,5893,2444
San Juan ,79,25,959,124,217,44
Skagit,322,116,7444,764,857,324
Skamania,46,5,1078,94,92,39
Snohomish,2165,677,35474,5097,4701,1884
Spokane,1199,333,37357,6032,4299,2214
Stevens,101,23,5075,657,292,276
Thurston,868,245,16639,2309,2398,832
Wahkiakum,17,2,530,41,46,14
Walla Walla,109,45,4689,492,563,359
Whatcom,695,166,16533,2960,1532,866
Whitman,109,28,2071,363,286,195
Yakima,393,123,14872,1366,1063,698
