County,Rubio_Marco,Carson_Ben,Paul_Rand,Huckabee_Mike,Gilmore_Jim,Christie_Chris,Trump_Donald,Santorum_Rick,Fiorina_Carly,Kasich_Johhn,Bush_Jeb,Cruz_Ted,Williams_Victor,Clinton_Hillary,O'Malley_Martin,Sanders_Bernie,De La Fuente_Rocky
Adams,30,21,10,10,2,3,2279,3,3,374,6,1360,0,1375,10,1515,0
Ashland ,24,28,4,5,3,2,1269,0,1,312,10,795,0,1248,10,2204,0
Barron ,105,86,20,12,1,20,4216,8,6,922,28,3559,0,2572,24,2965,0
Bayfield ,40,22,7,6,0,8,1600,3,2,448,8,926,0,1488,8,2619,0
Brown ,470,191,95,52,9,35,18761,23,33,5080,121,25684,0,16701,62,22559,0
Buffalo ,21,16,5,2,1,5,1397,3,1,323,13,999,0,825,6,1149,0
Burnett ,45,36,9,6,2,4,1629,2,0,356,2,1172,0,918,8,936,0
Calumet ,95,63,26,19,1,9,4054,5,8,1200,26,6134,1,3028,13,4017,0
Chippewa ,82,68,28,17,2,14,5839,5,13,1108,37,5567,1,4022,22,5127,0
Clark ,52,29,18,11,2,4,2865,4,3,392,20,2739,0,1473,7,1969,0
Columbia ,111,73,36,16,3,15,4416,6,13,1920,36,4516,0,4187,10,6460,0
Crawford ,25,27,13,6,1,7,1216,3,3,352,8,1009,0,1146,8,1592,0
Dane ,601,306,227,89,12,67,20922,29,58,20134,175,26395,0,61405,143,102986,0
Dodge ,199,108,41,13,6,18,6505,8,12,2544,52,10445,0,4505,23,6249,0
Door ,95,40,13,18,1,5,2953,7,5,1105,29,3193,0,2943,9,3426,0
Douglas ,84,66,13,8,1,9,3678,3,4,761,18,2070,0,3577,31,4512,0
Dunn ,50,51,17,16,1,10,3076,5,4,763,22,3473,0,2421,20,4279,0
Eau Claire ,125,88,58,31,3,16,6856,9,10,2364,41,8497,0,7689,22,13674,0
Florence ,14,7,1,3,0,1,653,1,1,105,5,428,0,175,4,293,0
Fond Du Lac ,209,138,45,19,20,23,7656,7,7,2277,72,12758,0,5519,23,7385,0
Forest ,32,10,6,4,0,2,1110,6,1,157,5,660,1,610,4,667,0
Grant ,96,64,36,24,5,17,3501,9,8,1558,29,3247,3,3068,27,4491,1
Green ,48,52,21,16,2,5,2828,6,5,1455,25,2467,0,2766,6,4368,0
